PeakID (cmd=annotatePeaks.pl siBAZ2B_raw_MACS2_Unique_Ctrl.narrowPeak hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_5859,chr3,38178453,38179074,+,77,NA,promoter-TSS (NM_001130410),promoter-TSS (NM_001130410),-30,NM_001130410,30,,NM_001607,ENSG00000060971,ACAA1,ACAA|Lnc-Myd88|PTHIO|THIO,acetyl-CoA acyltransferase 1,protein-coding
siBAZ2B_3_peak_8196,chr9,35161973,35162333,+,77,NA,"5' UTR (NM_006377, exon 1 of 39)","5' UTR (NM_006377, exon 1 of 39)",147,NM_001330653,10497,,NM_006377,ENSG00000198722,UNC13B,MUNC13|UNC13|Unc13h2|munc13-2,unc-13 homolog B,protein-coding
siBAZ2B_3_peak_207,chr1,39874238,39874624,+,77,NA,promoter-TSS (NM_015038),promoter-TSS (NM_015038),-314,NM_015038,23499,,NM_012090,ENSG00000127603,MACF1,ABP620|ACF7|KIAA0754|LIS9|Lnc-PMIF|MACF|OFC4,microtubule actin crosslinking factor 1,protein-coding
siBAZ2B_3_peak_3422,chr17,19015995,19016322,+,77,NA,promoter-TSS (NR_006882),promoter-TSS (NR_006882),-209,NR_006882,780854,,NR_006882,ENSG00000281000,SNORD3D,RNU3-4|U3-4,"small nucleolar RNA, C/D box 3D",snoRNA
siBAZ2B_3_peak_7912,chr8,74086415,74086787,+,77,NA,Intergenic,Intergenic,-81194,NM_153225,157869,,NM_153225,ENSG00000164764,SBSPON,C8orf84|RPESP,somatomedin B and thrombospondin type 1 domain containing,protein-coding
siBAZ2B_3_peak_7730,chr8,580451,580881,+,77,NA,"intron (NM_001303100, intron 5 of 5)","intron (NM_001303100, intron 5 of 5)",-84886,NM_175075,157695,,NM_175075,ENSG00000180190,TDRP,C8orf42|Inm01|TDRP1|TDRP2,testis development related protein,protein-coding
siBAZ2B_3_peak_5350,chr20,13619219,13619706,+,77,NA,"intron (NM_001323604, intron 1 of 14)",CpG,117,NM_017714,55617,,NM_017714,ENSG00000089123,TASP1,C20orf13|SULEHS|dJ585I14.2,taspase 1,protein-coding
siBAZ2B_3_peak_4663,chr2,20341023,20341467,+,77,NA,Intergenic,Intergenic,83646,NM_002997,6382,,NM_002997,ENSG00000115884,SDC1,CD138|SDC|SYND1|syndecan,syndecan 1,protein-coding
siBAZ2B_3_peak_1705,chr12,6539595,6540052,+,77,NA,Intergenic,L1MC4a|LINE|L1,-14298,NM_001242,939,,NM_001242,ENSG00000139193,CD27,S152|S152. LPFS2|T14|TNFRSF7|Tp55,CD27 molecule,protein-coding
siBAZ2B_3_peak_834,chr10,17243132,17243706,+,77,NA,"intron (NM_001351221, intron 1 of 8)",CpG,252,NM_001351219,1787,,NM_004412,ENSG00000107614,TRDMT1,DMNT2|DNMT2|MHSAIIP|PUMET|RNMT1,tRNA aspartic acid methyltransferase 1,protein-coding
siBAZ2B_3_peak_338,chr1,109584421,109584861,+,77,NA,promoter-TSS (NM_001142551),promoter-TSS (NM_001142551),83,NM_001142551,22911,,NM_014969,ENSG00000085433,WDR47,-,WD repeat domain 47,protein-coding
siBAZ2B_3_peak_5703,chr22,36925090,36925505,+,77,NA,promoter-TSS (NR_156418),promoter-TSS (NR_156418),-84,NM_003753,8664,,NM_003753,ENSG00000100353,EIF3D,EIF3S7|eIF3-p66|eIF3-zeta,eukaryotic translation initiation factor 3 subunit D,protein-coding
siBAZ2B_3_peak_5159,chr2,202898154,202898862,+,77,NA,promoter-TSS (NM_003507),promoter-TSS (NM_003507),-802,NM_003507,8324,,NM_003507,ENSG00000155760,FZD7,FzE3,frizzled class receptor 7,protein-coding
siBAZ2B_3_peak_605,chr1,193074239,193074560,+,77,NA,"exon (NM_197962, exon 1 of 4)","exon (NM_197962, exon 1 of 4)",145,NM_197962,51022,,NM_016066,ENSG00000023572,GLRX2,CGI-133|GRX2,glutaredoxin 2,protein-coding
siBAZ2B_3_peak_81,chr1,15852929,15853469,+,77,NA,promoter-TSS (NR_109898),promoter-TSS (NR_109898),-109,NM_001287811,23341,,NM_015291,ENSG00000116138,DNAJC16,ERdj8,DnaJ heat shock protein family (Hsp40) member C16,protein-coding
siBAZ2B_3_peak_3152,chr16,67217719,67218203,+,77,NA,promoter-TSS (NM_001040715),promoter-TSS (NM_001040715),-95,NM_001369682,653319,,NM_001040715,ENSG00000196123,MATCAP1,KIAA0895L|TMCP1,microtubule associated tyrosine carboxypeptidase 1,protein-coding
siBAZ2B_3_peak_8151,chr9,14314868,14315622,+,77,NA,promoter-TSS (NR_161382),promoter-TSS (NR_161382),-292,NR_161382,4781,,NM_005596,ENSG00000147862,NFIB,CTF|HMGIC/NFIB|MACID|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3,nuclear factor I B,protein-coding
siBAZ2B_3_peak_1977,chr12,80328703,80329381,+,77,NA,promoter-TSS (NM_001244992),promoter-TSS (NM_001244992),-19,NR_146533,105369865,,NR_146533,,PPP1R12A-AS1,R12A-AS1,PPP1R12A antisense RNA 1,ncRNA
siBAZ2B_3_peak_3712,chr17,61904470,61905087,+,77,NA,promoter-TSS (NM_001199163),promoter-TSS (NM_001199163),-13,NM_002805,5705,,NM_002805,ENSG00000087191,PSMC5,RPT6|S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG,"proteasome 26S subunit, ATPase 5",protein-coding
siBAZ2B_3_peak_8626,chrX,24711608,24712116,+,77,NA,promoter-TSS (NM_001378303),promoter-TSS (NM_001378303),-173,NR_165483,5422,,NM_016937,ENSG00000101868,POLA1,NSX|PDR|POLA|VEODS|p180,"DNA polymerase alpha 1, catalytic subunit",protein-coding
siBAZ2B_3_peak_1139,chr10,126812205,126812751,+,77,NA,"intron (NM_001083914, intron 1 of 10)","intron (NM_001083914, intron 1 of 10)",34868,NM_001290215,1488,,NM_001329,ENSG00000175029,CTBP2,-,C-terminal binding protein 2,protein-coding
siBAZ2B_3_peak_650,chr1,205091078,205091735,+,77,NA,promoter-TSS (NM_001193273),promoter-TSS (NM_001193273),-300,NM_005057,5929,,NM_005057,ENSG00000117222,RBBP5,RBQ3|SWD1,"RB binding protein 5, histone lysine methyltransferase complex subunit",protein-coding
siBAZ2B_3_peak_7483,chr7,75622762,75623272,+,77,NA,"intron (NR_156695, intron 1 of 10)","intron (NR_156695, intron 1 of 10)",896,NR_156695,83862,,NM_031925,ENSG00000189077,TMEM120A,NET29|TACAN|TMPIT,transmembrane protein 120A,protein-coding
siBAZ2B_3_peak_8732,chrX,102941688,102941991,+,77,NA,promoter-TSS (NM_001142426),promoter-TSS (NM_001142426),-93,NM_001142423,9643,,NM_012286,ENSG00000123562,MORF4L2,MORFL2|MRGX,mortality factor 4 like 2,protein-coding
siBAZ2B_3_peak_7962,chr8,95961297,95961888,+,76,NA,promoter-TSS (NM_001135733),promoter-TSS (NM_001135733),14,NM_033285,94241,,NM_033285,ENSG00000164938,TP53INP1,SIP|TP53DINP1|TP53INP1A|TP53INP1B|Teap|p53DINP1,tumor protein p53 inducible nuclear protein 1,protein-coding
siBAZ2B_3_peak_6366,chr4,128886151,128886966,+,76,NA,promoter-TSS (NM_001358451),promoter-TSS (NM_001358451),-3,NM_001366048,80167,,NM_025097,ENSG00000164074,ABHD18,C4orf29,abhydrolase domain containing 18,protein-coding
siBAZ2B_3_peak_8553,chrUn_gl000221,79732,80097,+,76,NA,NA,CpG,NA,NA,,,,,,,,
siBAZ2B_3_peak_5052,chr2,133173814,133174413,+,76,NA,promoter-TSS (NM_001508),promoter-TSS (NM_001508),-265,NM_001508,2863,,NM_001508,ENSG00000183840,GPR39,ZnR,G protein-coupled receptor 39,protein-coding
siBAZ2B_3_peak_1402,chr11,62599292,62599999,+,76,NA,promoter-TSS (NR_135084),promoter-TSS (NR_135084),-61,NR_135084,105369332,,NR_135084,ENSG00000256690,STX5-DT,-,STX5 divergent transcript,ncRNA
siBAZ2B_3_peak_3019,chr16,18812474,18813170,+,76,NA,promoter-TSS (NM_015161),promoter-TSS (NM_015161),49,NM_015161,23204,,NM_015161,ENSG00000170540,ARL6IP1,AIP1|ARL6IP|ARMER|SPG61,ADP ribosylation factor like GTPase 6 interacting protein 1,protein-coding
siBAZ2B_3_peak_4031,chr19,2950418,2950960,+,76,NA,Intergenic,CpG,-5720,NM_021217,58492,,NM_021217,ENSG00000175691,ZNF77,pT1,zinc finger protein 77,protein-coding
siBAZ2B_3_peak_5344,chr20,10015542,10016007,+,76,NA,"5' UTR (NM_022096, exon 1 of 11)","5' UTR (NM_022096, exon 1 of 11)",139,NM_198798,63926,,NM_022096,ENSG00000132623,ANKEF1,ANKRD5,ankyrin repeat and EF-hand domain containing 1,protein-coding
siBAZ2B_3_peak_7487,chr7,75923830,75924328,+,76,NA,Intergenic,Intergenic,-7911,NM_001540,3315,,NM_001540,ENSG00000106211,HSPB1,CMT2F|HEL-S-102|HMN2B|HMND3|HS.76067|HSP27|HSP28|Hsp25|SRP27,heat shock protein family B (small) member 1,protein-coding
siBAZ2B_3_peak_927,chr10,65280718,65281501,+,76,NA,promoter-TSS (NM_001001330),promoter-TSS (NM_001001330),-52,NM_001001330,221035,,NM_001001330,ENSG00000165476,REEP3,C10orf74|Yip2b,receptor accessory protein 3,protein-coding
siBAZ2B_3_peak_980,chr10,82213540,82214107,+,76,NA,promoter-TSS (NM_001351267),promoter-TSS (NM_001351267),-243,NM_001351267,81619,,NM_030927,ENSG00000108219,TSPAN14,DC-TM4F2|TM4SF14|tspan-14,tetraspanin 14,protein-coding
siBAZ2B_3_peak_7887,chr8,61429131,61429938,+,76,NA,promoter-TSS (NM_002865),promoter-TSS (NM_002865),-12,NM_002865,5862,,NM_002865,ENSG00000104388,RAB2A,LHX|RAB2,"RAB2A, member RAS oncogene family",protein-coding
siBAZ2B_3_peak_3148,chr16,66914113,66914806,+,76,NA,promoter-TSS (NM_020786),promoter-TSS (NM_020786),41,NM_001329932,57546,,NM_020786,ENSG00000172840,PDP2,PDPC 2|PPM2B|PPM2C2,pyruvate dehydrogenase phosphatase catalytic subunit 2,protein-coding
siBAZ2B_3_peak_3758,chr17,73092079,73092510,+,76,NA,"intron (NM_001271765, intron 3 of 6)",MIR3|SINE|MIR,8245,NM_001369668,9121,,NM_004695,ENSG00000170190,SLC16A5,MCT5|MCT6,solute carrier family 16 member 5,protein-coding
siBAZ2B_3_peak_7918,chr8,77912250,77912881,+,75,NA,promoter-TSS (NM_001079867),promoter-TSS (NM_001079867),-41,NM_001079867,5828,,NM_000318,ENSG00000164751,PEX2,PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3,peroxisomal biogenesis factor 2,protein-coding
siBAZ2B_3_peak_7509,chr7,87856306,87856631,+,75,NA,promoter-TSS (NM_198901),promoter-TSS (NM_198901),-160,NM_198901,6717,,NM_003130,ENSG00000075142,SRI,CP-22|CP22|SCN|V19,sorcin,protein-coding
siBAZ2B_3_peak_5714,chr22,39151582,39152004,+,75,NA,promoter-TSS (NM_001199580),promoter-TSS (NM_001199580),210,NM_015374,25777,,NM_015374,ENSG00000100242,SUN2,UNC84B|rab5IP,Sad1 and UNC84 domain containing 2,protein-coding
siBAZ2B_3_peak_8527,chr9_gl000199_random,92195,92595,+,75,NA,NA,ALR/Alpha|Satellite|centr,NA,NA,,,,,,,,
siBAZ2B_3_peak_1320,chr11,45939304,45940044,+,75,NA,promoter-TSS (NM_057174),promoter-TSS (NM_057174),-246,NM_004813,9409,,NM_004813,ENSG00000121680,PEX16,PBD8A|PBD8B,peroxisomal biogenesis factor 16,protein-coding
siBAZ2B_3_peak_4896,chr2,75937855,75938294,+,75,NA,promoter-TSS (NM_003203),promoter-TSS (NM_003203),-33,NM_001201334,6936,,NM_003203,ENSG00000005436,GCFC2,C2orf3|DNABF|GCF|TCF9,GC-rich sequence DNA-binding factor 2,protein-coding
siBAZ2B_3_peak_4315,chr19,40030465,40030846,+,75,NA,"exon (NM_153232, exon 1 of 1)","exon (NM_153232, exon 1 of 1)",146,NM_153232,163126,,NM_153232,ENSG00000176396,EID2,CRI2|EID-2,EP300 interacting inhibitor of differentiation 2,protein-coding
siBAZ2B_3_peak_2881,chr15,101817382,101817737,+,75,NA,"exon (NM_018445, exon 1 of 6)","exon (NM_018445, exon 1 of 6)",131,NM_018445,55829,,NM_018445,ENSG00000131871,SELENOS,AD-015|ADO15|SBBI8|SELS|SEPS1|VIMP,selenoprotein S,protein-coding
siBAZ2B_3_peak_6563,chr5,72794174,72794751,+,75,NA,"5' UTR (NM_001037637, exon 1 of 6)","5' UTR (NM_001037637, exon 1 of 6)",212,NM_001037637,689,,NM_001207,ENSG00000145741,BTF3,BETA-NAC|BTF3a|BTF3b|NACB,basic transcription factor 3,protein-coding
siBAZ2B_3_peak_4191,chr19,18303543,18303991,+,75,NA,promoter-TSS (NM_032683),promoter-TSS (NM_032683),-261,NM_032683,84769,,NM_032683,ENSG00000254858,MPV17L2,FKSG24,MPV17 mitochondrial inner membrane protein like 2,protein-coding
siBAZ2B_3_peak_8762,chrX,119868404,119869040,+,75,NA,Intergenic,Intergenic,-104717,NM_152692,29071,,NM_152692,ENSG00000171155,C1GALT1C1,AHUS8|C1GALT2|C38H2-L1|COSMC|HSPC067|MST143|TNPS,C1GALT1 specific chaperone 1,protein-coding
siBAZ2B_3_peak_5698,chr22,36023506,36023973,+,75,NA,Intergenic,Intergenic,-4338,NM_001382809,4151,,NM_005368,ENSG00000198125,MB,MYOSB|PVALB,myoglobin,protein-coding
siBAZ2B_3_peak_1010,chr10,97453479,97453958,+,75,NA,promoter-TSS (NM_015631),promoter-TSS (NM_015631),-34,NM_015631,26123,,NM_015631,ENSG00000119977,TCTN3,C10orf61|JBTS18|OFD4|TECT3,tectonic family member 3,protein-coding
siBAZ2B_3_peak_5544,chr21,15755220,15755990,+,75,NA,promoter-TSS (NM_006948),promoter-TSS (NM_006948),-138,NM_006948,6782,,NM_006948,ENSG00000155304,HSPA13,STCH,heat shock protein family A (Hsp70) member 13,protein-coding
siBAZ2B_3_peak_2206,chr13,48611611,48612172,+,75,NA,promoter-TSS (NM_018283),promoter-TSS (NM_018283),29,NM_018283,55270,,NM_018283,ENSG00000136159,NUDT15,MTH2|NUDT15D,nudix hydrolase 15,protein-coding
siBAZ2B_3_peak_7752,chr8,8168195,8168578,+,75,NA,Intergenic,Intergenic,75368,NM_001369759,157285,,NM_001080826,ENSG00000275342,PRAG1,NACK|PEAK2|PRAGMIN|SGK223,"PEAK1 related, kinase-activating pseudokinase 1",protein-coding
siBAZ2B_3_peak_6005,chr3,119182332,119182779,+,75,NA,promoter-TSS (NM_018266),promoter-TSS (NM_018266),-93,NM_018266,55254,,NM_018266,ENSG00000176142,TMEM39A,SUSR2,transmembrane protein 39A,protein-coding
siBAZ2B_3_peak_5358,chr20,17550413,17550892,+,75,NA,promoter-TSS (NM_006870),promoter-TSS (NM_006870),-68,NM_001011546,11034,,NM_006870,ENSG00000125868,DSTN,ACTDP|ADF|HEL32|bA462D18.2,"destrin, actin depolymerizing factor",protein-coding
siBAZ2B_3_peak_518,chr1,161128907,161129685,+,75,NA,promoter-TSS (NM_001319848),promoter-TSS (NM_001319848),6,NM_001319847,27005,,NM_012475,ENSG00000143258,USP21,USP16|USP23,ubiquitin specific peptidase 21,protein-coding
siBAZ2B_3_peak_2538,chr14,105940022,105940539,+,75,NA,promoter-TSS (NR_073083),promoter-TSS (NR_073083),-878,NR_073081,1397,,NM_001312,ENSG00000182809,CRIP2,CRIP|CRP2|ESP1,cysteine rich protein 2,protein-coding
siBAZ2B_3_peak_3617,chr17,45887538,45888060,+,75,NA,"intron (NM_145798, intron 18 of 22)","intron (NM_145798, intron 18 of 22)",11361,NM_145798,114881,,NM_017731,ENSG00000006025,OSBPL7,ORP7,oxysterol binding protein like 7,protein-coding
siBAZ2B_3_peak_5477,chr20,48925071,48926000,+,75,NA,"intron (NR_034124, intron 2 of 4)","intron (NR_034124, intron 2 of 4)",12344,NR_109950,101927586,,NR_109950,ENSG00000233077,LINC01271,-,long intergenic non-protein coding RNA 1271,ncRNA
siBAZ2B_3_peak_269,chr1,55894833,55895167,+,75,NA,Intergenic,Intergenic,203686,NR_039618,100616272,,NR_039618,ENSG00000265822,MIR4422,mir-4422,microRNA 4422,ncRNA
siBAZ2B_3_peak_7214,chr6_mcf_hap5,1967027,1967452,+,75,NA,promoter-TSS (NM_014046).5,promoter-TSS (NM_014046).5,-234,NM_014046,28973,,NM_014046,ENSG00000204568,MRPS18B,C6orf14|HSPC183|HumanS18a|MRP-S18-2|MRPS18-2|PTD017|S18amt|mS40,mitochondrial ribosomal protein S18B,protein-coding
siBAZ2B_3_peak_8480,chr9,136344349,136344687,+,74,NA,promoter-TSS (NM_001145099),promoter-TSS (NM_001145099),-297,NM_017585,11182,,NM_017585,ENSG00000160326,SLC2A6,GLUT6|GLUT9|HSA011372,solute carrier family 2 member 6,protein-coding
siBAZ2B_3_peak_3973,chr18,74779544,74779982,+,74,NA,"intron (NM_001025101, intron 2 of 8)","intron (NM_001025101, intron 2 of 8)",-50752,NM_001025090,4155,,NM_002385,ENSG00000197971,MBP,-,myelin basic protein,protein-coding
siBAZ2B_3_peak_6566,chr5,74632446,74633169,+,74,NA,promoter-TSS (NM_001130996),promoter-TSS (NM_001130996),-186,NM_001364187,3156,,NM_000859,ENSG00000113161,HMGCR,LDLCQ3|LGMDR28|MYPLG,3-hydroxy-3-methylglutaryl-CoA reductase,protein-coding
siBAZ2B_3_peak_8566,chrUn_gl000225,99176,99485,+,74,NA,NA,BSR/Beta|Satellite|Satellite,NA,NA,,,,,,,,
siBAZ2B_3_peak_1387,chr11,62323842,62324152,+,74,NA,Intergenic,Intergenic,3781,NR_037427,100500804,,NR_037427,ENSG00000284135,MIR3654,-,microRNA 3654,ncRNA
siBAZ2B_3_peak_4747,chr2,38603563,38604514,+,74,NA,promoter-TSS (NM_001330459),promoter-TSS (NM_001330459),-366,NM_001308076,64225,,NM_022374,ENSG00000119787,ATL2,ARL3IP2|ARL6IP2|aip-2|atlastin2,atlastin GTPase 2,protein-coding
siBAZ2B_3_peak_7779,chr8,19674625,19675695,+,74,NA,"exon (NM_001353508, exon 1 of 18)","exon (NM_001353508, exon 1 of 18)",233,NM_018142,55174,,NM_018142,ENSG00000104613,INTS10,C8orf35|INT10,integrator complex subunit 10,protein-coding
siBAZ2B_3_peak_2032,chr12,107349158,107349915,+,74,NA,promoter-TSS (NM_001319664),promoter-TSS (NM_001319664),36,NM_001319666,90488,,NM_152261,ENSG00000151135,TMEM263,C12orf23,transmembrane protein 263,protein-coding
siBAZ2B_3_peak_8698,chrX,61691634,61692122,+,74,NA,Intergenic,ALR/Alpha|Satellite|centr,879333,NM_001012968,139886,,NM_001012968,ENSG00000186767,SPIN4,LJBS|TDRD28,spindlin family member 4,protein-coding
siBAZ2B_3_peak_7311,chr7,6098445,6098838,+,74,NA,"exon (NM_014413, exon 1 of 15)","exon (NM_014413, exon 1 of 15)",165,NM_014413,27102,,NM_014413,ENSG00000086232,EIF2AK1,HCR|HRI|LEMSPAD|hHRI,eukaryotic translation initiation factor 2 alpha kinase 1,protein-coding
siBAZ2B_3_peak_521,chr1,161195424,161195878,+,74,NA,promoter-TSS (NM_001286374),promoter-TSS (NM_001286374),-78,NM_001286373,84134,,NM_032174,ENSG00000158882,TOMM40L,TOMM40B,translocase of outer mitochondrial membrane 40 like,protein-coding
siBAZ2B_3_peak_1819,chr12,49454224,49454888,+,74,NA,promoter-TSS (NM_003482),promoter-TSS (NM_003482),21,NM_003482,8085,,NM_003482,ENSG00000167548,KMT2D,AAD10|ALR|BCAHH|CAGL114|KABUK1|KMS|MLL2|MLL4|TNRC21,lysine methyltransferase 2D,protein-coding
siBAZ2B_3_peak_249,chr1,47903236,47903694,+,74,NA,promoter-TSS (NR_126355),promoter-TSS (NR_126355),-251,NM_004474,2306,,NM_004474,ENSG00000186564,FOXD2,FKHL17|FREAC-9|FREAC9,forkhead box D2,protein-coding
siBAZ2B_3_peak_4002,chr19,1275466,1275912,+,74,NA,TTS (NR_023312),TTS (NR_023312),160,NM_017914,55009,,NM_017914,ENSG00000228300,FAM174C,C19orf24,family with sequence similarity 174 member C,protein-coding
siBAZ2B_3_peak_541,chr1,166845029,166846014,+,74,NA,promoter-TSS (NM_053053),promoter-TSS (NM_053053),-20,NM_053053,117143,,NM_053053,ENSG00000152382,TADA1,ADA1|HFI1|STAF42|TADA1L|hADA1,transcriptional adaptor 1,protein-coding
siBAZ2B_3_peak_7330,chr7,11012979,11013755,+,74,NA,promoter-TSS (NR_033435),promoter-TSS (NR_033435),-132,NR_033435,9678,,NM_014660,ENSG00000106443,PHF14,-,PHD finger protein 14,protein-coding
siBAZ2B_3_peak_1140,chr10,126849713,126850082,+,74,NA,promoter-TSS (NM_001083914),promoter-TSS (NM_001083914),-298,NM_001083914,1488,,NM_001329,ENSG00000175029,CTBP2,-,C-terminal binding protein 2,protein-coding
siBAZ2B_3_peak_86,chr1,16532791,16533517,+,74,NA,"intron (NM_153213, intron 6 of 15)",CpG,5993,NM_153213,128272,,NM_153213,ENSG00000142632,ARHGEF19,WGEF,Rho guanine nucleotide exchange factor 19,protein-coding
siBAZ2B_3_peak_5007,chr2,114647059,114647764,+,74,NA,promoter-TSS (NM_001277140),promoter-TSS (NM_001277140),-100,NR_102318,10096,,NM_005721,ENSG00000115091,ACTR3,ARP 3.00,actin related protein 3,protein-coding
siBAZ2B_3_peak_2312,chr14,24711566,24712276,+,74,NA,promoter-TSS (NM_001363668),promoter-TSS (NM_001363668),-41,NM_012461,26277,,NM_012461,ENSG00000092330,TINF2,DKCA3|TIN2,TERF1 interacting nuclear factor 2,protein-coding
siBAZ2B_3_peak_2528,chr14,105281682,105282455,+,74,NA,Intergenic,CpG,-5470,NR_024396,196872,,NM_152646,ENSG00000258701,VESTAR,LINC00638,VEGFC mRNA stability associated lncRNA,ncRNA
siBAZ2B_3_peak_5296,chr20,304803,305285,+,74,NA,"intron (NR_109990, intron 1 of 2)",CpG,852,NR_109990,100507459,,NR_109990,ENSG00000225377,NRSN2-AS1,-,NRSN2 antisense RNA 1,ncRNA
siBAZ2B_3_peak_7005,chr6,53224023,53224519,+,74,NA,Intergenic,CpG,-10294,NM_001242828,60481,,NM_021814,ENSG00000012660,ELOVL5,HELO1|SCA38|dJ483K16.1,ELOVL fatty acid elongase 5,protein-coding
siBAZ2B_3_peak_533,chr1,162530950,162531843,+,74,NA,promoter-TSS (NM_003115),promoter-TSS (NM_003115),100,NM_003115,6675,,NM_003115,ENSG00000117143,UAP1,AGX|AGX1|AGX2|SPAG2,UDP-N-acetylglucosamine pyrophosphorylase 1,protein-coding
siBAZ2B_3_peak_7019,chr6,76458935,76459339,+,73,NA,"non-coding (NR_160539, exon 1 of 10)","non-coding (NR_160539, exon 1 of 10)",181,NM_004999,4646,,NM_004999,ENSG00000196586,MYO6,DFNA22|DFNB37,myosin VI,protein-coding
siBAZ2B_3_peak_89,chr1,16693564,16694004,+,73,NA,promoter-TSS (NR_073500),promoter-TSS (NR_073500),47,NR_073503,26099,,NM_001114600,ENSG00000055070,SZRD1,C1orf144,SUZ RNA binding domain containing 1,protein-coding
siBAZ2B_3_peak_213,chr1,41327771,41328322,+,73,NA,promoter-TSS (NM_133467),promoter-TSS (NM_133467),-11,NM_133467,163732,,NM_133467,ENSG00000179862,CITED4,-,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4,protein-coding
siBAZ2B_3_peak_2261,chr13,114145183,114145647,+,73,NA,promoter-TSS (NM_001349741),promoter-TSS (NM_001349741),79,NM_001349746,55002,,NM_017905,ENSG00000150403,TMCO3,C13orf11,transmembrane and coiled-coil domains 3,protein-coding
siBAZ2B_3_peak_2234,chr13,95201545,95202281,+,73,NA,promoter-TSS (NM_001322186),promoter-TSS (NM_001322186),-253,NM_001322182,1638,,NM_001922,ENSG00000080166,DCT,OCA8|TRP-2|TYRP2,dopachrome tautomerase,protein-coding
siBAZ2B_3_peak_7324,chr7,8008185,8008762,+,73,NA,promoter-TSS (NR_110018),promoter-TSS (NR_110018),46,NM_138426,113263,,NM_138426,ENSG00000106415,GLCCI1,FAM117C|GCTR|GIG18|TSSN1,glucocorticoid induced 1,protein-coding
siBAZ2B_3_peak_5033,chr2,128643227,128644158,+,73,NA,promoter-TSS (NM_001199140),promoter-TSS (NM_001199140),-162,NM_001199140,83607,,NM_031445,ENSG00000144233,AMMECR1L,-,AMMECR1 like,protein-coding
siBAZ2B_3_peak_7505,chr7,86974574,86975255,+,73,NA,promoter-TSS (NM_001243745),promoter-TSS (NM_001243745),-66,NM_001243745,54677,,NM_021151,ENSG00000005469,CROT,COT,carnitine O-octanoyltransferase,protein-coding
siBAZ2B_3_peak_498,chr1,156629950,156630392,+,73,NA,TTS (NM_021948),TTS (NM_021948),17028,NM_006617,10763,,NM_006617,ENSG00000132688,NES,Nbla00170,nestin,protein-coding
siBAZ2B_3_peak_6101,chr3,156806430,156806913,+,73,NA,promoter-TSS (NR_034008),promoter-TSS (NR_034008),-999,NR_034008,100498859,,NR_034008,,LINC00881,LIPTER,long intergenic non-protein coding RNA 881,ncRNA
siBAZ2B_3_peak_2109,chr12,123011321,123011759,+,73,NA,promoter-TSS (NM_014708),promoter-TSS (NM_014708),-57,NM_023012,65117,,NM_023012,ENSG00000111011,RSRC2,-,arginine and serine rich coiled-coil 2,protein-coding
siBAZ2B_3_peak_34,chr1,2457503,2458177,+,73,NA,"intron (NM_018216, intron 1 of 18)",CpG,195,NM_018216,55229,,NM_018216,ENSG00000157881,PANK4,CTRCT49,pantothenate kinase 4 (inactive),protein-coding
siBAZ2B_3_peak_6098,chr3,156272706,156273252,+,73,NA,promoter-TSS (NM_001308204),promoter-TSS (NM_001308204),10,NM_001308197,6747,,NM_007107,ENSG00000114850,SSR3,TRAPG,signal sequence receptor subunit 3,protein-coding
siBAZ2B_3_peak_4908,chr2,85829468,85830152,+,73,NA,promoter-TSS (NM_001031738),promoter-TSS (NM_001031738),11,NM_001031738,129303,,NM_153342,ENSG00000168890,TMEM150A,TM6P1|TMEM150|TTN1,transmembrane protein 150A,protein-coding
siBAZ2B_3_peak_2493,chr14,100842393,100842857,+,73,NA,promoter-TSS (NM_001350949),promoter-TSS (NM_001350949),39,NM_213645,7453,,NM_004184,ENSG00000140105,WARS1,GAMMA-2|HMN9|HMND9|IFI53|IFP53|NEDMSBA|WARS,tryptophanyl-tRNA synthetase 1,protein-coding
siBAZ2B_3_peak_8193,chr9,35096211,35096604,+,73,NA,"5' UTR (NM_001201484, exon 1 of 13)","5' UTR (NM_001201484, exon 1 of 13)",139,NM_001201484,84720,,NM_032634,ENSG00000165282,PIGO,HPMRS2,phosphatidylinositol glycan anchor biosynthesis class O,protein-coding
siBAZ2B_3_peak_5138,chr2,197391652,197392134,+,73,NA,"intron (NM_001348768, intron 1 of 28)",L1PA2|LINE|L1,65814,NM_020760,57520,,NM_020760,ENSG00000138411,HECW2,NDHSAL|NEDL2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",protein-coding
siBAZ2B_3_peak_78,chr1,12538287,12538736,+,73,NA,"intron (NM_018156, intron 66 of 68)","intron (NM_018156, intron 66 of 68)",-28789,NR_003025,677885,,NR_003025,ENSG00000239149,SNORA59A,ACA59,"small nucleolar RNA, H/ACA box 59A",snoRNA
