PeakID (cmd=annotatePeaks.pl siBAZ2B_siControl_raw_MACS2_overlap.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_1116,chr10,121076548,121077039,+,122,NA,"intron (NM_005308, intron 1 of 15)",MER54A|LTR|ERVL,-60691,NR_039829,100616398,,NR_039829,ENSG00000265719,MIR4681,-,microRNA 4681,ncRNA
siBAZ2B_3_peak_4111,chr19,10764520,10765189,+,122,NA,promoter-TSS (NM_004516),promoter-TSS (NM_004516),-83,NM_017620,3609,,NM_004516,ENSG00000129351,ILF3,CBTF|DRBF|DRBP76|MMP4|MPHOSPH4|MPP4|MPP4110|NF-AT-90|NF110|NF110b|NF90|NF90a|NF90b|NF90c|NF90ctv|NFAR|NFAR-1|NFAR-2|NFAR110|NFAR2|NFAR90|TCP110|TCP80,interleukin enhancer binding factor 3,protein-coding
siBAZ2B_3_peak_4686,chr2,26256447,26257281,+,122,NA,promoter-TSS (NM_016131),promoter-TSS (NM_016131),-89,NM_016131,10890,,NM_016131,ENSG00000084733,RAB10,-,"RAB10, member RAS oncogene family",protein-coding
siBAZ2B_3_peak_1927,chr12,58165568,58166482,+,122,NA,promoter-TSS (NM_023033),promoter-TSS (NM_023033),-137,NM_005371,4234,,NM_005371,ENSG00000037897,METTL1,C12orf1|TRM8|TRMT8|YDL201w,"methyltransferase 1, tRNA methylguanosine",protein-coding
siBAZ2B_3_peak_2900,chr16,639305,639932,+,122,NA,promoter-TSS (NM_001172666),promoter-TSS (NM_001172666),-51,NM_001172664,57799,,NM_021168,ENSG00000197562,RAB40C,RARL|RASL8C,"RAB40C, member RAS oncogene family",protein-coding
siBAZ2B_3_peak_7115,chr6,157735009,157735380,+,122,NA,"intron (NM_018452, intron 3 of 3)","intron (NM_018452, intron 3 of 3)",9357,NM_018452,729515,,NM_018452,ENSG00000215712,TMEM242,BM033|C6orf35,transmembrane protein 242,protein-coding
siBAZ2B_3_peak_6519,chr5,56469303,56469929,+,121,NA,promoter-TSS (NM_001331037),promoter-TSS (NM_001331037),-159,NM_001203246,65056,,NM_022913,ENSG00000062194,GPBP1,GPBP|SSH6|VASCULIN,GC-rich promoter binding protein 1,protein-coding
siBAZ2B_3_peak_3051,chr16,29302070,29302649,+,121,NA,Intergenic,Intergenic,-11249,NR_002939,440352,,NR_002939,,SNX29P2,RUNDC2C,sorting nexin 29 pseudogene 2,pseudo
siBAZ2B_3_peak_1503,chr11,67188299,67188828,+,121,NA,"exon (NM_020811, exon 8 of 9)","exon (NM_020811, exon 8 of 9)",5414,NM_020811,57571,,NM_020811,ENSG00000172508,CARNS1,ATPGD1,carnosine synthase 1,protein-coding
siBAZ2B_3_peak_4667,chr2,20550089,20551078,+,121,NA,promoter-TSS (NM_001352928),promoter-TSS (NM_001352928),22,NM_001352917,23369,,NM_015317,ENSG00000055917,PUM2,PUMH2|PUML2,pumilio RNA binding family member 2,protein-coding
siBAZ2B_3_peak_1146,chr10,131908639,131909841,+,121,NA,promoter-TSS (NR_034125),promoter-TSS (NR_034125),-146,NM_001355042,387723,,NM_001355042,ENSG00000237489,C10orf143,LINC00959,chromosome 10 open reading frame 143,protein-coding
siBAZ2B_3_peak_4987,chr2,110371233,110372158,+,121,NA,promoter-TSS (NM_001321498),promoter-TSS (NM_001321498),-152,NM_001321505,151011,,NM_144710,ENSG00000186522,SEPTIN10,SEPT10|Septin-10,septin 10,protein-coding
siBAZ2B_3_peak_7402,chr7,44075802,44076180,+,121,NA,"intron (NR_024116, intron 5 of 8)","intron (NR_024116, intron 5 of 8)",-2657,NR_072982,255031,,NR_015401,,LINC00957,-,long intergenic non-protein coding RNA 957,ncRNA
siBAZ2B_3_peak_3589,chr17,43138207,43138972,+,121,NA,promoter-TSS (NM_021079),promoter-TSS (NM_021079),-90,NM_024819,79877,,NM_024819,ENSG00000172992,DCAKD,-,dephospho-CoA kinase domain containing,protein-coding
siBAZ2B_3_peak_91,chr1,16861027,16861851,+,121,NA,"non-coding (NR_135765, exon 1 of 2)","non-coding (NR_135765, exon 1 of 2)",708,NR_135764,100132147,,NR_135764,ENSG00000233421,LINC01783,-,long intergenic non-protein coding RNA 1783,ncRNA
siBAZ2B_3_peak_1211,chr11,3818562,3819289,+,121,NA,promoter-TSS (NM_139131),promoter-TSS (NM_139131),-29,NM_001256235,27315,,NM_014489,ENSG00000148985,PGAP2,CWH43-N|FRAG1|HPMRS3|MRT17|MRT21,post-GPI attachment to proteins 2,protein-coding
siBAZ2B_3_peak_136,chr1,25071448,25071935,+,121,NA,promoter-TSS (NM_013943),promoter-TSS (NM_013943),-247,NM_013943,25932,,NM_013943,ENSG00000169504,CLIC4,CLIC4L|H1|MTCLIC|huH1|p64H1,chloride intracellular channel 4,protein-coding
siBAZ2B_3_peak_613,chr1,200638630,200639571,+,121,NA,promoter-TSS (NM_001349803),promoter-TSS (NM_001349803),26,NM_001349801,83479,,NM_031306,ENSG00000118197,DDX59,OFD5|ZNHIT5,DEAD-box helicase 59,protein-coding
siBAZ2B_3_peak_3864,chr17,80376212,80376632,+,121,NA,promoter-TSS (NR_033265),promoter-TSS (NR_033265),40,NM_024648,79701,,NM_024648,ENSG00000181396,OGFOD3,C17orf101,2-oxoglutarate and iron dependent oxygenase domain containing 3,protein-coding
siBAZ2B_3_peak_5300,chr20,382207,383003,+,121,NA,Intergenic,MER44D|DNA|TcMar-Tigger,-6089,NM_001323960,10616,,NM_006462,ENSG00000125826,RBCK1,C20orf18|HOIL-1|HOIL1|PBMEI|PGBM1|RBCK2|RNF54|UBCE7IP3|XAP3|XAP4|ZRANB4,RANBP2-type and C3HC4-type zinc finger containing 1,protein-coding
siBAZ2B_3_peak_2446,chr14,78083000,78083409,+,121,NA,promoter-TSS (NM_004863),promoter-TSS (NM_004863),-224,NM_004863,9517,,NM_004863,ENSG00000100596,SPTLC2,HSN1C|LCB2|LCB2A|NSAN1C|SPT2|hLCB2a,serine palmitoyltransferase long chain base subunit 2,protein-coding
siBAZ2B_3_peak_4071,chr19,6372632,6373946,+,121,NA,"intron (NM_032306, intron 1 of 3)",G-rich|Low_complexity|Low_complexity,484,NM_032306,84266,,NM_032306,ENSG00000125652,ALKBH7,ABH7|SPATA11|UNQ6002,alkB homolog 7,protein-coding
siBAZ2B_3_peak_5037,chr2,130939230,130939690,+,121,NA,promoter-TSS (NR_033232),promoter-TSS (NR_033232),-130,NM_017951,55627,,NM_017751,ENSG00000136699,SMPD4,NEDMABA|NEDMEBA|NET13|NSMASE-3|NSMASE3|SKNY,sphingomyelin phosphodiesterase 4,protein-coding
siBAZ2B_3_peak_5562,chr21,35014221,35014826,+,121,NA,promoter-TSS (NM_001331011),promoter-TSS (NM_001331011),-284,NM_003024,6453,,NM_003024,ENSG00000205726,ITSN1,ITSN|SH3D1A|SH3P17,intersectin 1,protein-coding
siBAZ2B_3_peak_6622,chr5,108084167,108085227,+,121,NA,promoter-TSS (NR_146155),promoter-TSS (NR_146155),48,NM_001308038,2241,,NM_005246,ENSG00000151422,FER,PPP1R74|TYK3|p94-Fer,FER tyrosine kinase,protein-coding
siBAZ2B_3_peak_5546,chr21,18884900,18885435,+,121,NA,promoter-TSS (NM_001338),promoter-TSS (NM_001338),-57,NM_001207066,1525,,NM_001338,ENSG00000154639,CXADR,CAR|CAR4/6|HCAR,CXADR Ig-like cell adhesion molecule,protein-coding
siBAZ2B_3_peak_3713,chr17,61920026,61920672,+,121,NA,promoter-TSS (NM_001098426),promoter-TSS (NM_001098426),-304,NM_001098426,6603,,NM_003077,ENSG00000108604,SMARCD2,BAF60B|CRACD2|PRO2451|Rsc6p|SGD2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",protein-coding
siBAZ2B_3_peak_7454,chr7,72476153,72477119,+,120,NA,promoter-TSS (NR_003614),promoter-TSS (NR_003614),-8,NR_003614,5380,,NR_003614,,PMS2P2,PMS2L2|PMS4,"PMS1 homolog 2, mismatch repair system component pseudogene 2",pseudo
siBAZ2B_3_peak_4438,chr19,47616084,47617033,+,120,NA,"intron (NM_015168, intron 1 of 14)",CpG-14469,475,NM_015168,23211,,NM_015168,ENSG00000130749,ZC3H4,C19orf7,zinc finger CCCH-type containing 4,protein-coding
siBAZ2B_3_peak_4488,chr19,49588195,49589049,+,120,NA,promoter-TSS (NM_003089),promoter-TSS (NM_003089),-86,NM_003089,6625,,NM_003089,ENSG00000104852,SNRNP70,RNPU1Z|RPU1|SNRP70|Snp1|U1-70K|U170K|U1AP|U1RNP,small nuclear ribonucleoprotein U1 subunit 70,protein-coding
siBAZ2B_3_peak_8439,chr9,131314374,131315077,+,120,NA,promoter-TSS (NM_001130438),promoter-TSS (NM_001130438),-141,NM_001375312,6709,,NM_003127,ENSG00000197694,SPTAN1,DEE5|DEVEP|EIEE5|HMN11|HMND11|NEAS|SPG91|SPTA2,"spectrin alpha, non-erythrocytic 1",protein-coding
siBAZ2B_3_peak_4954,chr2,97523309,97524203,+,120,NA,promoter-TSS (NM_016466),promoter-TSS (NM_016466),-3,NM_016466,51239,,NM_016466,ENSG00000213337,ANKRD39,-,ankyrin repeat domain 39,protein-coding
siBAZ2B_3_peak_5770,chr3,5020123,5020993,+,120,NA,promoter-TSS (NM_003670),promoter-TSS (NM_003670),-564,NM_003670,8553,,NM_003670,ENSG00000134107,BHLHE40,BHLHB2|Clast5|DEC1|HLHB2|SHARP-2|SHARP2|STRA13|Stra14,basic helix-loop-helix family member e40,protein-coding
siBAZ2B_3_peak_6305,chr4,83206061,83206444,+,120,NA,Intergenic,CpG,88892,NM_031370,3184,,NM_002138,ENSG00000138668,HNRNPD,AUF1|AUF1A|HNRPD|P37|hnRNPD0,heterogeneous nuclear ribonucleoprotein D,protein-coding
siBAZ2B_3_peak_8238,chr9,46687522,46688104,+,120,NA,"non-coding (NR_126048, exon 1 of 2).2","non-coding (NR_126048, exon 1 of 2).2",256,NR_047527,387628,,NM_174950,ENSG00000291011,FGF7P6,KGFLP1,fibroblast growth factor 7 pseudogene 6,pseudo
siBAZ2B_3_peak_5011,chr2,120517139,120517704,+,120,NA,promoter-TSS (NM_002830),promoter-TSS (NM_002830),-77,NM_002830,5775,,NM_002830,ENSG00000088179,PTPN4,MEG|PTPMEG|PTPMEG1,protein tyrosine phosphatase non-receptor type 4,protein-coding
siBAZ2B_3_peak_440,chr1,153538780,153539470,+,120,NA,promoter-TSS (NM_005978),promoter-TSS (NM_005978),-805,NM_001366407,6273,,NM_005978,ENSG00000196754,S100A2,CAN19|S100L,S100 calcium binding protein A2,protein-coding
siBAZ2B_3_peak_5174,chr2,208394341,208394934,+,120,NA,promoter-TSS (NM_004379),promoter-TSS (NM_004379),-49,NR_163946,1385,,NM_004379,ENSG00000118260,CREB1,CREB|CREB-1,cAMP responsive element binding protein 1,protein-coding
siBAZ2B_3_peak_7278,chr7,915737,916793,+,120,NA,promoter-TSS (NM_015949),promoter-TSS (NM_015949),74,NM_015949,51608,,NM_015949,ENSG00000239857,GET4,C7orf20|CDG2Y|CEE|CGI-20|TRC35,guided entry of tail-anchored proteins factor 4,protein-coding
siBAZ2B_3_peak_958,chr10,74856320,74856804,+,120,NA,"5' UTR (NM_001017962, exon 1 of 15)","5' UTR (NM_001017962, exon 1 of 15)",170,NM_001142596,5033,,NM_000917,ENSG00000122884,P4HA1,P4HA,prolyl 4-hydroxylase subunit alpha 1,protein-coding
siBAZ2B_3_peak_2829,chr15,89877752,89878476,+,120,NA,promoter-TSS (NM_002693),promoter-TSS (NM_002693),-59,NM_001126131,5428,,NM_002693,ENSG00000140521,POLG,MDP1|MIRAS|MTDPS4A|MTDPS4B|PEO|POLG1|POLGA|SANDO|SCAE,"DNA polymerase gamma, catalytic subunit",protein-coding
siBAZ2B_3_peak_1155,chr10,134330628,134331280,+,119,NA,"intron (NR_158224, intron 2 of 3)","intron (NR_158224, intron 2 of 3)",19473,NR_158224,107984282,,NR_158224,,LOC107984282,-,uncharacterized LOC107984282,ncRNA
siBAZ2B_3_peak_1167,chr11,175299,175762,+,119,NA,Intergenic,(CCCTAA)n|Simple_repeat|Simple_repeat,-17548,NM_145651,147199,,NM_145651,ENSG00000188076,SCGB1C1,RYD5,secretoglobin family 1C member 1,protein-coding
siBAZ2B_3_peak_5920,chr3,50283883,50284326,+,119,NA,promoter-TSS (NM_001166425),promoter-TSS (NM_001166425),-238,NM_001166425,2771,,NM_002070,ENSG00000114353,GNAI2,GIP|GNAI2B|HG1C|H_LUCA15.1|H_LUCA16.1,G protein subunit alpha i2,protein-coding
siBAZ2B_3_peak_8451,chr9,131842915,131843770,+,119,NA,promoter-TSS (NM_001135917),promoter-TSS (NM_001135917),-48,NM_001135917,57171,,NM_020438,ENSG00000167130,DOLPP1,LSFR2,dolichyldiphosphatase 1,protein-coding
siBAZ2B_3_peak_3332,chr17,6347071,6347674,+,119,NA,promoter-TSS (NM_019013),promoter-TSS (NM_019013),-403,NM_019013,54478,,NM_019013,ENSG00000129195,PIMREG,CATS|FAM64A|RCS1,PICALM interacting mitotic regulator,protein-coding
siBAZ2B_3_peak_7710,chr7,156931245,156931848,+,119,NA,promoter-TSS (NM_014671),promoter-TSS (NM_014671),-74,NM_014671,9690,,NM_014671,ENSG00000009335,UBE3C,HECTH2|NDSMBA|NEDSMBA|RAUL,ubiquitin protein ligase E3C,protein-coding
siBAZ2B_3_peak_3170,chr16,68271230,68271982,+,119,NA,Intergenic,CpG-9678,-1576,NM_024939,80004,,NM_024939,ENSG00000103067,ESRP2,RBM35B,epithelial splicing regulatory protein 2,protein-coding
siBAZ2B_3_peak_4576,chr19,56116235,56116986,+,119,NA,promoter-TSS (NM_001195605),promoter-TSS (NM_001195605),-403,NM_001195605,100507290,,NM_001195605,ENSG00000261221,ZNF865,-,zinc finger protein 865,protein-coding
siBAZ2B_3_peak_6687,chr5,133862712,133863403,+,119,NA,"intron (NM_015288, intron 1 of 10)",CpG-22033,1259,NM_015288,23338,,NM_015288,ENSG00000043143,JADE2,JADE-2|PHF15,jade family PHD finger 2,protein-coding
siBAZ2B_3_peak_1344,chr11,57078659,57079045,+,119,NA,"intron (NM_033396, intron 5 of 11)","intron (NM_033396, intron 5 of 11)",13574,NM_033396,85456,,NM_033396,ENSG00000149115,TNKS1BP1,CNOT12|TAB182,tankyrase 1 binding protein 1,protein-coding
siBAZ2B_3_peak_7209,chr6_mann_hap4,3506170,3506818,+,119,NA,promoter-TSS (NM_022107).6,promoter-TSS (NM_022107).6,-373,NM_022107,63940,,NM_022107,ENSG00000213654,GPSM3,AGS4|C6orf9|G18|G18.1a|G18.1b|G18.2|NG1,G protein signaling modulator 3,protein-coding
siBAZ2B_3_peak_3909,chr18,12377062,12377869,+,119,NA,promoter-TSS (NM_006796),promoter-TSS (NM_006796),-239,NM_006796,10939,,NM_006796,ENSG00000141385,AFG3L2,OPA12|SCA28|SPAX5,AFG3 like matrix AAA peptidase subunit 2,protein-coding
siBAZ2B_3_peak_5215,chr2,220408188,220408796,+,119,NA,promoter-TSS (NM_024536),promoter-TSS (NM_024536),39,NM_024536,79586,,NM_024536,ENSG00000123989,CHPF,CHPF1|CHSY2|CSS2,chondroitin polymerizing factor,protein-coding
siBAZ2B_3_peak_5290,chr2,242640685,242642348,+,119,NA,promoter-TSS (NM_001330162),promoter-TSS (NM_001330162),62,NM_001330162,84289,,NM_032329,ENSG00000168395,ING5,p28ING5,inhibitor of growth family member 5,protein-coding
siBAZ2B_3_peak_6773,chr5,154062021,154062720,+,119,NA,promoter-TSS (NM_001367715),promoter-TSS (NM_001367715),-169,NM_001367715,23367,,NM_015315,ENSG00000155506,LARP1,LARP|Lar1|Lhp1,"La ribonucleoprotein 1, translational regulator",protein-coding
siBAZ2B_3_peak_83,chr1,16126723,16127169,+,119,NA,Intergenic,Intergenic,7248,NM_001089591,440567,,NM_001089591,ENSG00000233954,UQCRHL,hCG25371,ubiquinol-cytochrome c reductase hinge protein like,protein-coding
siBAZ2B_3_peak_69,chr1,9970132,9970991,+,119,NA,promoter-TSS (NM_001012329),promoter-TSS (NM_001012329),-234,NM_001012329,56998,,NM_020248,ENSG00000178585,CTNNBIP1,ICAT,catenin beta interacting protein 1,protein-coding
siBAZ2B_3_peak_4257,chr19,36134160,36134699,+,119,NA,"exon (NM_014209, exon 5 of 7)","exon (NM_014209, exon 5 of 7)",1782,NM_001304549,2116,,NM_014209,ENSG00000105672,ETV2,ER71|ETSRP71,ETS variant transcription factor 2,protein-coding
siBAZ2B_3_peak_4575,chr19,56110337,56111582,+,119,NA,promoter-TSS (NM_032836),promoter-TSS (NM_032836),-76,NM_032836,84922,,NM_032836,ENSG00000179943,FIZ1,ZNF798,FLT3 interacting zinc finger 1,protein-coding
siBAZ2B_3_peak_3221,chr16,81040453,81041393,+,118,NA,promoter-TSS (NM_001351970),promoter-TSS (NM_001351970),-433,NR_147839,56942,,NM_020188,ENSG00000103121,CMC2,2310061C15Rik|C16orf61|DC13,C-X9-C motif containing 2,protein-coding
siBAZ2B_3_peak_6686,chr5,133841614,133842423,+,118,NA,promoter-TSS (NR_105045),promoter-TSS (NR_105045),-225,NR_105045,101927934,,NR_105045,ENSG00000251169,LINC01843,Lnc-APUE,long intergenic non-protein coding RNA 1843,ncRNA
siBAZ2B_3_peak_1063,chr10,104005010,104005494,+,118,NA,promoter-TSS (NM_001199378),promoter-TSS (NM_001199378),-37,NM_001377138,8729,,NM_004193,ENSG00000107862,GBF1,ARF1GEF|CMT2GG|CMTDI2|CMTDIA,golgi brefeldin A resistant guanine nucleotide exchange factor 1,protein-coding
siBAZ2B_3_peak_2001,chr12,99038229,99039422,+,118,NA,promoter-TSS (NM_013229),promoter-TSS (NM_013229),-243,NM_001160,317,,NM_001160,ENSG00000120868,APAF1,APAF-1|CED4,apoptotic peptidase activating factor 1,protein-coding
siBAZ2B_3_peak_1212,chr11,3862312,3862910,+,118,NA,promoter-TSS (NM_001665),promoter-TSS (NM_001665),-422,NM_001665,391,,NM_001665,ENSG00000177105,RHOG,ARHG,ras homolog family member G,protein-coding
siBAZ2B_3_peak_983,chr10,88159751,88160549,+,118,NA,Intergenic,CpG,-33598,NM_017551,2894,,NM_017551,ENSG00000182771,GRID1,GluD1|GluD1-b,glutamate ionotropic receptor delta type subunit 1,protein-coding
siBAZ2B_3_peak_1585,chr11,85779784,85780576,+,118,NA,promoter-TSS (NM_001206946),promoter-TSS (NM_001206946),-54,NM_001206946,8301,,NM_007166,ENSG00000073921,PICALM,CALM|CLTH|LAP,phosphatidylinositol binding clathrin assembly protein,protein-coding
siBAZ2B_3_peak_402,chr1,148247670,148248063,+,118,NA,"intron (NM_001351372, intron 19 of 29)",CpG,6401,NR_104075,101954266,,NR_104075,ENSG00000207501,RNVU1-14,RNU1-37|vU1.14,"RNA, variant U1 small nuclear 14",snRNA
siBAZ2B_3_peak_5781,chr3,9834209,9834805,+,118,NA,promoter-TSS (NM_001198780),promoter-TSS (NM_001198780),188,NM_133480,10474,,NM_006354,ENSG00000171148,TADA3,ADA3|NGG1|STAF54|TADA3L|hADA3,transcriptional adaptor 3,protein-coding
siBAZ2B_3_peak_6345,chr4,113152553,113153293,+,118,NA,promoter-TSS (NM_001128426),promoter-TSS (NM_001128426),-20,NM_018569,55435,,NM_018569,ENSG00000138660,AP1AR,2C18|C4orf16|GBAR|PRO0971|gamma-BAR,adaptor related protein complex 1 associated regulatory protein,protein-coding
siBAZ2B_3_peak_4397,chr19,45681309,45682127,+,118,NA,promoter-TSS (NM_001270893),promoter-TSS (NM_001270893),-223,NM_001270891,79090,,NM_024108,ENSG00000007255,TRAPPC6A,TRS33,trafficking protein particle complex subunit 6A,protein-coding
siBAZ2B_3_peak_3839,chr17,79212676,79213370,+,118,NA,promoter-TSS (NM_001086521),promoter-TSS (NM_001086521),-88,NM_001353402,284184,,NM_001086521,ENSG00000224877,NDUFAF8,C17orf89|MC1DN34,NADH:ubiquinone oxidoreductase complex assembly factor 8,protein-coding
siBAZ2B_3_peak_5211,chr2,220143798,220144607,+,118,NA,"5' UTR (NM_006736, exon 1 of 9)","5' UTR (NM_006736, exon 1 of 9)",114,NM_001039550,3300,,NM_006736,ENSG00000135924,DNAJB2,CMT2T|DSMA5|HMNR5|HSJ-1|HSJ1|HSPF3,DnaJ heat shock protein family (Hsp40) member B2,protein-coding
siBAZ2B_3_peak_2296,chr14,23755068,23755774,+,118,NA,promoter-TSS (NM_020834),promoter-TSS (NM_020834),-80,NM_020834,57594,,NM_020834,ENSG00000290292,HOMEZ,KIAA1443,homeobox and leucine zipper encoding,protein-coding
siBAZ2B_3_peak_3993,chr19,1021278,1021667,+,118,NA,promoter-TSS (NM_001033026),promoter-TSS (NM_001033026),-49,NR_104080,101954271,,NR_104080,ENSG00000207507,RNU6-9,U6-9,"RNA, U6 small nuclear 9",snRNA
siBAZ2B_3_peak_1175,chr11,519428,520245,+,117,NA,Intergenic,CpG,-12594,NM_203389,6050,,NM_002939,ENSG00000023191,RNH1,IIAE12|RAI|RNH,ribonuclease/angiogenin inhibitor 1,protein-coding
siBAZ2B_3_peak_5822,chr3,19988362,19989245,+,117,NA,promoter-TSS (NM_001330688),promoter-TSS (NM_001330688),214,NM_004162,5868,,NM_004162,ENSG00000144566,RAB5A,RAB5,"RAB5A, member RAS oncogene family",protein-coding
siBAZ2B_3_peak_7889,chr8,61564281,61565024,+,117,NA,Intergenic,CpG,-26647,NM_017780,55636,,NM_017780,ENSG00000171316,CHD7,CRG|HH5|IS3|KAL5,chromodomain helicase DNA binding protein 7,protein-coding
siBAZ2B_3_peak_2074,chr12,118810328,118811024,+,117,NA,promoter-TSS (NM_001346491),promoter-TSS (NM_001346491),36,NM_001346490,51347,,NM_016281,ENSG00000135090,TAOK3,DPK|JIK|MAP3K18|hKFC-A,TAO kinase 3,protein-coding
siBAZ2B_3_peak_2936,chr16,2273236,2273830,+,117,NA,promoter-TSS (NM_004424),promoter-TSS (NM_004424),44,NM_001288778,1877,,NM_004424,ENSG00000167967,E4F1,E4F,E4F transcription factor 1,protein-coding
siBAZ2B_3_peak_7472,chr7,74202815,74203873,+,117,NA,"intron (NM_000265, intron 10 of 10)",CpG-25602,15035,NM_000265,653361,,NM_000265,ENSG00000158517,NCF1,CGD1|NCF1A|NOXO2|SH3PXD1A|p47phox,neutrophil cytosolic factor 1,protein-coding
siBAZ2B_3_peak_7366,chr7,30323782,30324767,+,117,NA,promoter-TSS (NM_147128),promoter-TSS (NM_147128),61,NM_147128,223082,,NM_147128,ENSG00000180233,ZNRF2,RNF202,zinc and ring finger 2,protein-coding
siBAZ2B_3_peak_3515,chr17,37025564,37026174,+,117,NA,promoter-TSS (NM_001271608),promoter-TSS (NM_001271608),-243,NM_001271608,3927,,NM_006148,ENSG00000002834,LASP1,Lasp-1|MLN50,LIM and SH3 protein 1,protein-coding
siBAZ2B_3_peak_4737,chr2,33823906,33824720,+,117,NA,promoter-TSS (NM_015475),promoter-TSS (NM_015475),53,NM_015475,25940,,NM_015475,ENSG00000119812,FAM98A,-,family with sequence similarity 98 member A,protein-coding
siBAZ2B_3_peak_7961,chr8,95907514,95908384,+,117,NA,promoter-TSS (NM_001354525),promoter-TSS (NM_001354525),-47,NM_001354515,137682,,NM_152416,ENSG00000156170,NDUFAF6,C8orf38|FRTS5|MC1DN17,NADH:ubiquinone oxidoreductase complex assembly factor 6,protein-coding
siBAZ2B_3_peak_6753,chr5,148930919,148931487,+,117,NA,promoter-TSS (NM_001025105),promoter-TSS (NM_001025105),-201,NM_001025105,1452,,NM_001892,ENSG00000113712,CSNK1A1,CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975,casein kinase 1 alpha 1,protein-coding
siBAZ2B_3_peak_4564,chr19,55727929,55728549,+,117,NA,Intergenic,Intergenic,-7370,NM_002842,5794,,NM_002842,ENSG00000080031,PTPRH,R-PTP-H|SAP1,protein tyrosine phosphatase receptor type H,protein-coding
siBAZ2B_3_peak_6700,chr5,137878732,137879385,+,117,NA,promoter-TSS (NM_004730),promoter-TSS (NM_004730),-133,NR_157090,2107,,NM_004730,ENSG00000120705,ETF1,D5S1995|ERF|ERF1|RF1|SUP45L1|TB3-1,eukaryotic translation termination factor 1,protein-coding
siBAZ2B_3_peak_3572,chr17,42147850,42148498,+,116,NA,promoter-TSS (NM_001384167),promoter-TSS (NM_001384167),71,NM_001384165,92579,,NM_138387,ENSG00000141349,G6PC3,SCN4|UGRP,glucose-6-phosphatase catalytic subunit 3,protein-coding
siBAZ2B_3_peak_8493,chr9,139010348,139011125,+,116,NA,promoter-TSS (NR_165241),promoter-TSS (NR_165241),-15,NR_134506,90120,,NM_152833,ENSG00000238227,TMEM250,C9orf69,transmembrane protein 250,protein-coding
siBAZ2B_3_peak_8056,chr8,141520955,141522187,+,116,NA,promoter-TSS (NR_040712),promoter-TSS (NR_040712),150,NM_017444,54108,,NM_017444,ENSG00000104472,CHRAC1,CHARC1|CHARC15|CHRAC-1|CHRAC-15|CHRAC15|YCL1,chromatin accessibility complex subunit 1,protein-coding
siBAZ2B_3_peak_4144,chr19,14529917,14530357,+,116,NA,promoter-TSS (NM_005804),promoter-TSS (NM_005804),16,NM_005804,10212,,NM_005804,ENSG00000123136,DDX39A,BAT1|BAT1L|DDX39|DDXL|URH49,DExD-box helicase 39A,protein-coding
siBAZ2B_3_peak_7905,chr8,67579488,67579959,+,116,NA,promoter-TSS (NM_001204173),promoter-TSS (NM_001204173),-108,NR_161217,56260,,NM_019607,ENSG00000288596,C8orf44,-,chromosome 8 putative open reading frame 44,ncRNA
siBAZ2B_3_peak_4933,chr2,92306772,92307518,+,116,NA,Intergenic,ALR/Alpha|Satellite|centr,177986,NR_027714,440888,,NM_001032412,,ACTR3BP2,FKSG73,ACTR3B pseudogene 2,pseudo
siBAZ2B_3_peak_5754,chr22,46409374,46410039,+,116,NA,Intergenic,Intergenic,7210,NR_027240,730668,,NR_027240,ENSG00000280424,LOC730668,-,dynein heavy chain -like pseudogene,pseudo
siBAZ2B_3_peak_6557,chr5,71603911,71604404,+,116,NA,"intron (NM_015084, intron 2 of 10)",CpG,11910,NM_001286748,23107,,NM_015084,ENSG00000113048,MRPS27,MRP-S27|S27mt|mS27,mitochondrial ribosomal protein S27,protein-coding
siBAZ2B_3_peak_677,chr1,212458194,212459088,+,116,NA,promoter-TSS (NR_125984),promoter-TSS (NR_125984),-111,NM_006243,5525,,NM_006243,ENSG00000066027,PPP2R5A,B56A|B56alpha|PR61A,protein phosphatase 2 regulatory subunit B'alpha,protein-coding
siBAZ2B_3_peak_346,chr1,110881110,110881994,+,116,NA,promoter-TSS (NM_001201545),promoter-TSS (NM_001201545),241,NR_036595,440600,,NR_036595,ENSG00000227963,RBM15-AS1,AS-RBM15,RBM15 antisense RNA 1,ncRNA
siBAZ2B_3_peak_3118,chr16,54962673,54963619,+,116,NA,promoter-TSS (NM_001308963),promoter-TSS (NM_001308963),-45,NR_034105,643911,,NM_001308963,ENSG00000245694,CRNDE,CRNDEP|LINC00180|NCRNA00180|PNAS-108|lincIRX5,colorectal neoplasia differentially expressed,ncRNA
siBAZ2B_3_peak_2113,chr12,123717366,123717928,+,116,NA,promoter-TSS (NM_001143905),promoter-TSS (NM_001143905),41,NR_103517,10198,,NM_022782,ENSG00000051825,MPHOSPH9,MPP-9|MPP9,M-phase phosphoprotein 9,protein-coding
