,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Number of Ref-ed Antibodies,Article Count,Interactions,GO Score,UV Score,Overall Score,GO Terms
123,P19237,TNNI1,None,0,29,0,0,24,0,3,,"['C:cytosol', 'C:troponin complex', 'F:actin binding', 'P:cardiac muscle contraction', 'P:regulation of striated muscle contraction', 'P:skeletal muscle contraction', 'P:transition between fast and slow fiber', 'P:ventricular cardiac muscle tissue morphogenesis']"
124,P19388,POLR2E,None,0,28,0,1,19,4,3,,"['C:cytosol', 'C:nucleoplasm', 'C:nucleus', 'C:RNA polymerase I complex', 'C:RNA polymerase II, core complex', 'C:RNA polymerase III complex', 'C:RPAP3/R2TP/prefoldin-like complex', 'F:DNA binding', ""F:DNA-directed 5'-3' RNA polymerase activity"", 'P:protein stabilization', 'P:transcription by RNA polymerase II', 'P:transcription elongation by RNA polymerase I', 'P:tRNA transcription by RNA polymerase III']"
125,P19438,TNFRSF1A,None,0,50,0,16,10,2,3,,"['C:cell surface', 'C:extracellular region', 'C:extracellular space', 'C:Golgi membrane', 'C:membrane', 'C:membrane raft', 'C:plasma membrane', 'C:receptor complex', 'C:tumor necrosis factor receptor superfamily complex', 'F:tumor necrosis factor binding', 'F:tumor necrosis factor receptor activity', 'P:aortic valve development', 'P:cellular response to mechanical stimulus', 'P:cytokine-mediated signaling pathway', 'P:defense response to bacterium', 'P:extrinsic apoptotic signaling pathway via death domain receptors', 'P:inflammatory response', 'P:intrinsic apoptotic signaling pathway in response to DNA damage', 'P:negative regulation of cardiac muscle hypertrophy', 'P:negative regulation of extracellular matrix constituent secretion', 'P:negative regulation of inflammatory response', 'P:positive regulation of amide metabolic process', 'P:positive regulation of apoptotic process involved in morphogenesis', 'P:positive regulation of canonical NF-kappaB signal transduction', 'P:positive regulation of execution phase of apoptosis', 'P:positive regulation of inflammatory response', 'P:positive regulation of lipid metabolic process', 'P:positive regulation of transcription by RNA polymerase II', 'P:positive regulation of tyrosine phosphorylation of STAT protein', 'P:prostaglandin metabolic process', 'P:protein localization to plasma membrane', 'P:pulmonary valve development', 'P:regulation of establishment of endothelial barrier', 'P:regulation of membrane lipid metabolic process', 'P:regulation of tumor necrosis factor-mediated signaling pathway', 'P:transcription by RNA polymerase II', 'P:tumor necrosis factor-mediated signaling pathway']"
126,P20020,ATP2B1,None,0,28,0,0,3,0,3,,"['C:basolateral plasma membrane', 'C:cell projection', 'C:extracellular exosome', 'C:glutamatergic synapse', 'C:immunological synapse', 'C:intracellular membrane-bounded organelle', 'C:membrane', 'C:nucleoplasm', 'C:photoreceptor ribbon synapse', 'C:plasma membrane', 'C:presynaptic membrane', 'C:synaptic vesicle membrane', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:calcium ion transmembrane transporter activity', 'F:calmodulin binding', 'F:metal ion binding', 'F:molecular function inhibitor activity', 'F:P-type calcium transporter activity', 'F:PDZ domain binding', 'P:calcium ion export across plasma membrane', 'P:monoatomic ion transmembrane transport', 'P:negative regulation of cytokine production', 'P:negative regulation of cytosolic calcium ion concentration', 'P:positive regulation of bone mineralization', 'P:positive regulation of calcium ion transport', 'P:regulation of blood pressure', 'P:regulation of cardiac conduction', 'P:regulation of cellular response to insulin stimulus', 'P:regulation of cytosolic calcium ion concentration', 'P:regulation of vascular associated smooth muscle contraction']"
127,P20340,RAB6A,None,0,32,0,2,10,-1,2,,"['C:acrosomal membrane', 'C:cytoplasmic vesicle', 'C:cytosol', 'C:endomembrane system', 'C:endoplasmic reticulum membrane', 'C:endosome to plasma membrane transport vesicle', 'C:extracellular exosome', 'C:Golgi apparatus', 'C:Golgi membrane', 'C:membrane', 'C:plasma membrane', 'C:secretory granule membrane', 'C:trans-Golgi network', 'C:trans-Golgi network membrane', 'F:GTP binding', 'F:GTPase activity', 'F:myosin V binding', 'F:protein domain specific binding', 'P:antigen processing and presentation', 'P:early endosome to Golgi transport', 'P:intra-Golgi vesicle-mediated transport', 'P:intracellular protein transport', 'P:minus-end-directed organelle transport along microtubule', 'P:neuron projection development', 'P:peptidyl-cysteine methylation', 'P:protein localization to Golgi apparatus', 'P:protein localization to Golgi membrane', 'P:retrograde transport, endosome to Golgi', 'P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum']"
128,P21359,NF1,None,0,38,0,399,17,0,-1,,"['C:axon', 'C:cytoplasm', 'C:cytosol', 'C:dendrite', 'C:glutamatergic synapse', 'C:membrane', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:plasma membrane', 'C:presynapse', 'F:GTPase activator activity', 'F:phosphatidylcholine binding', 'F:phosphatidylethanolamine binding', 'P:actin cytoskeleton organization', 'P:adrenal gland development', 'P:amygdala development', 'P:angiogenesis', 'P:artery morphogenesis', 'P:brain development', 'P:camera-type eye morphogenesis', 'P:cell communication', 'P:cellular response to heat', 'P:cerebral cortex development', 'P:cognition', 'P:collagen fibril organization', 'P:endothelial cell proliferation', 'P:extracellular matrix organization', 'P:extrinsic apoptotic signaling pathway in absence of ligand', 'P:extrinsic apoptotic signaling pathway via death domain receptors', 'P:fibroblast proliferation', 'P:forebrain astrocyte development', 'P:forebrain morphogenesis', 'P:gamma-aminobutyric acid secretion, neurotransmission', 'P:glutamate secretion, neurotransmission', 'P:hair follicle maturation', 'P:heart development', 'P:liver development', 'P:long-term synaptic potentiation', 'P:MAPK cascade', 'P:mast cell apoptotic process', 'P:mast cell proliferation', 'P:metanephros development', 'P:myelination in peripheral nervous system', 'P:myeloid leukocyte migration', 'P:negative regulation of angiogenesis', 'P:negative regulation of astrocyte differentiation', 'P:negative regulation of cell migration', 'P:negative regulation of cell-matrix adhesion', 'P:negative regulation of endothelial cell proliferation', 'P:negative regulation of fibroblast proliferation', 'P:negative regulation of leukocyte migration', 'P:negative regulation of MAP kinase activity', 'P:negative regulation of MAPK cascade', 'P:negative regulation of mast cell proliferation', 'P:negative regulation of neuroblast proliferation', 'P:negative regulation of neurotransmitter secretion', 'P:negative regulation of oligodendrocyte differentiation', 'P:negative regulation of osteoclast differentiation', 'P:negative regulation of protein import into nucleus', 'P:negative regulation of protein kinase activity', 'P:negative regulation of Rac protein signal transduction', 'P:negative regulation of Ras protein signal transduction', 'P:negative regulation of Schwann cell migration', 'P:negative regulation of Schwann cell proliferation', 'P:negative regulation of stem cell proliferation', 'P:negative regulation of vascular associated smooth muscle cell migration', 'P:neural tube development', 'P:neuroblast proliferation', 'P:neuron apoptotic process', 'P:observational learning', 'P:oligodendrocyte differentiation', 'P:osteoblast differentiation', 'P:osteoclast differentiation', 'P:peripheral nervous system development', 'P:phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:pigmentation', 'P:positive regulation of adenylate cyclase activity', 'P:positive regulation of apoptotic process', 'P:positive regulation of endothelial cell proliferation', 'P:positive regulation of extrinsic apoptotic signaling pathway in absence of ligand', 'P:positive regulation of GTPase activity', 'P:positive regulation of mast cell apoptotic process', 'P:positive regulation of neuron apoptotic process', 'P:positive regulation of vascular associated smooth muscle cell proliferation', 'P:protein import into nucleus', 'P:Rac protein signal transduction', 'P:Ras protein signal transduction', 'P:regulation of angiogenesis', 'P:regulation of blood vessel endothelial cell migration', 'P:regulation of bone resorption', 'P:regulation of cell-matrix adhesion', 'P:regulation of ERK1 and ERK2 cascade', 'P:regulation of gene expression', 'P:regulation of glial cell differentiation', 'P:regulation of GTPase activity', 'P:regulation of long-term neuronal synaptic plasticity', 'P:regulation of long-term synaptic potentiation', 'P:regulation of postsynapse organization', 'P:regulation of synaptic transmission, GABAergic', 'P:response to hypoxia', 'P:Schwann cell development', 'P:Schwann cell migration', 'P:Schwann cell proliferation', 'P:skeletal muscle tissue development', 'P:smooth muscle tissue development', 'P:spinal cord development', 'P:stem cell proliferation', 'P:sympathetic nervous system development', 'P:vascular associated smooth muscle cell migration', 'P:vascular associated smooth muscle cell proliferation', 'P:visual learning', 'P:wound healing']"
129,P22105,TNXB,None,0,30,0,3,4,0,2,,"['C:collagen-containing extracellular matrix', 'C:extracellular exosome', 'C:extracellular matrix', 'C:extracellular region', 'C:extracellular space', 'C:intracellular membrane-bounded organelle', 'C:tenascin complex', 'F:collagen binding', 'F:collagen fibril binding', 'F:extracellular matrix structural constituent', 'F:heparin binding', 'F:integrin binding', 'P:actin cytoskeleton organization', 'P:cell adhesion', 'P:cell-cell adhesion', 'P:cell-matrix adhesion', 'P:collagen fibril organization', 'P:collagen metabolic process', 'P:elastic fiber assembly', 'P:fatty acid metabolic process', 'P:neuron projection development', 'P:positive regulation of cell fate determination', 'P:positive regulation of cell population proliferation', 'P:positive regulation of collagen fibril organization', 'P:positive regulation of epithelial to mesenchymal transition', 'P:positive regulation of vascular endothelial growth factor signaling pathway', 'P:regulation of cell adhesion', 'P:regulation of cell differentiation', 'P:regulation of cell migration', 'P:triglyceride metabolic process']"
130,P22415,USF1,None,0,35,0,34,1,12,2,,"['C:chromatin', 'C:Golgi apparatus', 'C:nucleoplasm', 'C:nucleus', 'C:transcription regulator complex', 'F:bHLH transcription factor binding', 'F:DNA-binding transcription factor activity, RNA polymerase II-specific', 'F:enzyme binding', 'F:histone deacetylase binding', 'F:identical protein binding', 'F:protein heterodimerization activity', 'F:protein homodimerization activity', 'F:protein kinase binding', 'F:protein-containing complex binding', 'F:RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'F:sequence-specific DNA binding', 'F:sequence-specific double-stranded DNA binding', 'P:carbon catabolite regulation of transcription', 'P:cellular response to insulin stimulus', 'P:glucose homeostasis', 'P:late viral transcription', 'P:lipid homeostasis', 'P:negative regulation of fibrinolysis', 'P:positive regulation of transcription by RNA polymerase II', 'P:positive regulation of transcription from RNA polymerase II promoter by glucose', 'P:regulation of transcription by RNA polymerase II', 'P:regulation of transcription from RNA polymerase II promoter by glucose', 'P:response to hypoxia', 'P:response to UV']"
131,P22455,FGFR4,None,0,46,0,20,9,0,3,,"['C:endoplasmic reticulum', 'C:endosome', 'C:extracellular region', 'C:Golgi apparatus', 'C:plasma membrane', 'C:receptor complex', 'C:transport vesicle', 'F:ATP binding', 'F:fibroblast growth factor binding', 'F:fibroblast growth factor receptor activity', 'F:heparin binding', 'P:cell migration', 'P:cholesterol homeostasis', 'P:fibroblast growth factor receptor signaling pathway', 'P:glucose homeostasis', 'P:peptidyl-tyrosine phosphorylation', 'P:phosphate ion homeostasis', 'P:positive regulation of catalytic activity', 'P:positive regulation of cell population proliferation', 'P:positive regulation of DNA biosynthetic process', 'P:positive regulation of ERK1 and ERK2 cascade', 'P:positive regulation of gene expression', 'P:positive regulation of proteolysis', 'P:protein autophosphorylation', 'P:regulation of bile acid biosynthetic process', 'P:regulation of extracellular matrix disassembly', 'P:regulation of lipid metabolic process']"
132,P22531,SPRR2E,None,0,2,0,1,0,0,6,,"['C:cornified envelope', 'C:cytoplasm', 'C:cytosol', 'F:structural constituent of skin epidermis', 'F:structural molecule activity', 'P:epidermis development', 'P:keratinization', 'P:peptide cross-linking']"
133,P22607,FGFR3,None,0,45,0,66,11,0,2,,"['C:cell surface', 'C:endoplasmic reticulum', 'C:extracellular region', 'C:Golgi apparatus', 'C:plasma membrane', 'C:receptor complex', 'C:transport vesicle', 'F:ATP binding', 'F:fibroblast growth factor binding', 'F:fibroblast growth factor receptor activity', 'F:identical protein binding', 'F:protein tyrosine kinase activity', 'P:bone maturation', 'P:bone mineralization', 'P:bone morphogenesis', 'P:cell surface receptor signaling pathway via JAK-STAT', 'P:cell-cell signaling', 'P:chondrocyte differentiation', 'P:chondrocyte proliferation', 'P:endochondral bone growth', 'P:endochondral ossification', 'P:fibroblast growth factor receptor apoptotic signaling pathway', 'P:fibroblast growth factor receptor signaling pathway', 'P:MAPK cascade', 'P:negative regulation of developmental growth', 'P:positive regulation of cell population proliferation', 'P:positive regulation of ERK1 and ERK2 cascade', 'P:positive regulation of MAPK cascade', 'P:positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:positive regulation of phospholipase activity', 'P:positive regulation of tyrosine phosphorylation of STAT protein', 'P:skeletal system development']"
134,P22897,MRC1,None,0,43,0,25,1,0,-4,,"['C:cell surface', 'C:endosome membrane', 'C:plasma membrane', 'F:cargo receptor activity', 'F:mannose binding', 'F:signaling receptor activity', 'F:transmembrane signaling receptor activity', 'F:virus receptor activity', 'P:cellular response to interleukin-4', 'P:cellular response to lipopolysaccharide', 'P:cellular response to type II interferon', 'P:receptor-mediated endocytosis']"
135,P23229,ITGA6,None,0,49,0,9,13,1,3,,"['C:adherens junction', 'C:cell surface', 'C:external side of plasma membrane', 'C:filopodium', 'C:focal adhesion', 'C:integrin alpha6-beta1 complex', 'C:integrin alpha6-beta4 complex', 'C:integrin complex', 'C:plasma membrane', 'F:cadherin binding', 'F:insulin-like growth factor I binding', 'F:integrin binding', 'F:laminin binding', 'F:metal ion binding', 'F:neuregulin binding', 'P:cell adhesion mediated by integrin', 'P:cell-cell adhesion', 'P:cell-matrix adhesion', 'P:cell-substrate adhesion', 'P:cell-substrate junction assembly', 'P:cellular response to organic cyclic compound', 'P:ectodermal cell differentiation', 'P:integrin-mediated signaling pathway', 'P:leukocyte migration', 'P:nail development', 'P:negative regulation of extrinsic apoptotic signaling pathway', 'P:positive regulation of apoptotic process', 'P:positive regulation of cell migration', 'P:positive regulation of cell-substrate adhesion', 'P:positive regulation of GTPase activity', 'P:positive regulation of neuron projection development', 'P:positive regulation of phosphorylation', 'P:positive regulation of transcription by RNA polymerase II', 'P:skin morphogenesis']"
136,P23634,ATP2B4,None,0,22,0,7,5,1,3,,"['C:basolateral plasma membrane', 'C:caveola', 'C:glutamatergic synapse', 'C:intracellular membrane-bounded organelle', 'C:membrane', 'C:membrane raft', 'C:plasma membrane', 'C:presynaptic active zone membrane', 'C:protein-containing complex', 'C:sperm flagellum', 'C:sperm principal piece', 'C:T-tubule', 'C:Z disc', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:calcium ion transmembrane transporter activity', 'F:calmodulin binding', 'F:metal ion binding', 'F:nitric-oxide synthase binding', 'F:nitric-oxide synthase inhibitor activity', 'F:P-type calcium transporter activity', 'F:PDZ domain binding', 'F:protein kinase binding', 'F:protein phosphatase 2B binding', 'F:scaffold protein binding', 'F:sodium channel regulator activity', 'P:calcium ion export', 'P:calcium ion import across plasma membrane', 'P:calcium ion transmembrane import into cytosol', 'P:calcium ion transmembrane transport', 'P:cellular response to acetylcholine', 'P:cellular response to epinephrine stimulus', 'P:flagellated sperm motility', 'P:hippocampus development', 'P:intracellular calcium ion homeostasis', 'P:monoatomic ion transmembrane transport', 'P:negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway', 'P:negative regulation of angiogenesis', 'P:negative regulation of arginine catabolic process', 'P:negative regulation of blood vessel endothelial cell migration', 'P:negative regulation of calcineurin-NFAT signaling cascade', 'P:negative regulation of cardiac muscle hypertrophy in response to stress', 'P:negative regulation of cellular response to vascular endothelial growth factor stimulus', 'P:negative regulation of citrulline biosynthetic process', 'P:negative regulation of gene expression', 'P:negative regulation of nitric oxide biosynthetic process', 'P:negative regulation of nitric-oxide synthase activity', 'P:negative regulation of peptidyl-cysteine S-nitrosylation', 'P:negative regulation of the force of heart contraction', 'P:neural retina development', 'P:nitric oxide-cGMP-mediated signaling', 'P:positive regulation of protein localization to plasma membrane', 'P:regulation of cardiac conduction', 'P:regulation of cell cycle G1/S phase transition', 'P:regulation of cytosolic calcium ion concentration', 'P:regulation of sodium ion transmembrane transport', 'P:regulation of transcription by RNA polymerase II', 'P:response to hydrostatic pressure', 'P:spermatogenesis', 'P:transport across blood-brain barrier', 'P:urinary bladder smooth muscle contraction']"
137,P24844,MYL9,None,0,34,0,4,25,-2,2,,"['C:cell cortex', 'C:cytoplasm', 'C:cytosol', 'C:muscle myosin complex', 'C:myofibril', 'C:stress fiber', 'C:Z disc', 'F:calcium ion binding', 'F:myosin heavy chain binding', 'F:structural constituent of muscle', 'P:myofibril assembly', 'P:platelet aggregation', 'P:regulation of muscle contraction']"
138,P25054,APC,None,0,44,0,728,7,1,3,,"['C:adherens junction', 'C:beta-catenin destruction complex', 'C:bicellular tight junction', 'C:catenin complex', 'C:centrosome', 'C:cytoplasm', 'C:cytosol', 'C:Golgi apparatus', 'C:kinetochore', 'C:lamellipodium', 'C:lateral plasma membrane', 'C:microtubule', 'C:nucleoplasm', 'C:nucleus', 'C:perinuclear region of cytoplasm', 'C:plasma membrane', 'C:ruffle membrane', 'C:Wnt signalosome', 'F:beta-catenin binding', 'F:dynein complex binding', 'F:gamma-catenin binding', 'F:microtubule binding', 'F:microtubule plus-end binding', 'F:protein kinase binding', 'F:protein kinase regulator activity', 'F:ubiquitin protein ligase binding', 'P:bicellular tight junction assembly', 'P:cell adhesion', 'P:cell fate specification', 'P:cell migration', 'P:DNA damage response', 'P:endocardial cushion morphogenesis', 'P:heart valve development', 'P:insulin receptor signaling pathway', 'P:mitotic cytokinesis', 'P:mitotic spindle assembly checkpoint signaling', 'P:negative regulation of canonical Wnt signaling pathway', 'P:negative regulation of cell cycle G1/S phase transition', 'P:negative regulation of cell population proliferation', 'P:negative regulation of cyclin-dependent protein serine/threonine kinase activity', 'P:negative regulation of G1/S transition of mitotic cell cycle', 'P:negative regulation of microtubule depolymerization', 'P:nervous system development', 'P:pattern specification process', 'P:positive regulation of apoptotic process', 'P:positive regulation of cell migration', 'P:positive regulation of cold-induced thermogenesis', 'P:positive regulation of protein catabolic process', 'P:positive regulation of protein localization to centrosome', 'P:positive regulation of pseudopodium assembly', 'P:proteasome-mediated ubiquitin-dependent protein catabolic process', 'P:protein-containing complex assembly', 'P:regulation of attachment of spindle microtubules to kinetochore', 'P:regulation of microtubule-based movement', 'P:regulation of microtubule-based process', 'P:Wnt signaling pathway']"
139,P25391,LAMA1,None,0,29,0,3,6,0,2,,"['C:basement membrane', 'C:cell-cell junction', 'C:collagen-containing extracellular matrix', 'C:extracellular matrix', 'C:extracellular region', 'C:extracellular space', 'C:laminin-1 complex', 'C:laminin-3 complex', 'C:membrane', 'C:protein complex involved in cell-matrix adhesion', 'F:extracellular matrix structural constituent', 'F:glycosphingolipid binding', 'F:signaling receptor binding', 'P:branching involved in salivary gland morphogenesis', 'P:cell adhesion', 'P:cell surface receptor signaling pathway', 'P:epithelial tube branching involved in lung morphogenesis', 'P:establishment of epithelial cell apical/basal polarity', 'P:morphogenesis of an epithelial sheet', 'P:neuron projection development', 'P:positive regulation of cell adhesion', 'P:positive regulation of integrin-mediated signaling pathway', 'P:positive regulation of muscle cell differentiation', 'P:regulation of basement membrane organization', 'P:regulation of cell migration', 'P:regulation of embryonic development', 'P:retinal blood vessel morphogenesis']"
140,P28290,ITPRID2,None,0,19,0,1,2,0,3,,"['C:cytosol', 'C:nucleoplasm', 'C:plasma membrane', 'F:actin filament binding', 'F:signaling receptor binding']"
141,P28340,POLD1,None,0,36,0,74,12,7,5,,"['C:aggresome', 'C:cytosol', 'C:delta DNA polymerase complex', 'C:membrane', 'C:nucleoplasm', 'C:nucleotide-excision repair complex', 'C:nucleus', ""F:3'-5'-DNA exonuclease activity"", 'F:4 iron, 4 sulfur cluster binding', 'F:chromatin binding', 'F:damaged DNA binding', 'F:DNA binding', 'F:DNA-directed DNA polymerase activity', 'F:enzyme binding', 'F:metal ion binding', 'F:nucleotide binding', 'P:base-excision repair, gap-filling', 'P:cellular response to UV', 'P:DNA biosynthetic process', 'P:DNA repair', 'P:DNA replication', 'P:DNA replication proofreading', 'P:DNA synthesis involved in DNA repair', 'P:DNA-templated DNA replication', 'P:error-free translesion synthesis', 'P:fatty acid homeostasis', 'P:nucleotide-excision repair, DNA gap filling', 'P:response to UV']"
142,P29353,SHC1,None,0,44,0,14,18,2,-4,,"['C:cytosol', 'C:focal adhesion', 'C:mitochondrial matrix', 'C:plasma membrane', 'C:Shc-EGFR complex', 'F:ephrin receptor binding', 'F:epidermal growth factor binding', 'F:epidermal growth factor receptor binding', 'F:insulin receptor binding', 'F:insulin-like growth factor receptor binding', 'F:neurotrophin TRKA receptor binding', 'F:phospholipid binding', 'F:phosphotyrosine residue binding', 'F:receptor tyrosine kinase binding', 'F:transmembrane receptor protein tyrosine kinase adaptor activity', 'P:actin cytoskeleton organization', 'P:angiogenesis', 'P:cell-cell adhesion', 'P:cellular response to growth factor stimulus', 'P:defense response to bacterium', 'P:epidermal growth factor receptor signaling pathway', 'P:heart development', 'P:insulin receptor signaling pathway', 'P:insulin-like growth factor receptor signaling pathway', 'P:intracellular signal transduction', 'P:negative regulation of angiogenesis', 'P:negative regulation of apoptotic process', 'P:negative regulation of DNA-templated transcription', 'P:positive regulation of cell population proliferation', 'P:positive regulation of cell proliferation in bone marrow', 'P:positive regulation of DNA-templated transcription', 'P:positive regulation of ERK1 and ERK2 cascade', 'P:positive regulation of MAPK cascade', 'P:regulation of superoxide metabolic process']"
143,P30613,PKLR,None,0,36,0,3,6,0,-1,,"['C:cytoplasm', 'C:cytosol', 'C:extracellular exosome', 'C:pyruvate kinase complex', 'F:ATP binding', 'F:kinase activity', 'F:magnesium ion binding', 'F:monosaccharide binding', 'F:potassium ion binding', 'F:pyruvate kinase activity', 'P:cellular response to epinephrine stimulus', 'P:cellular response to insulin stimulus', 'P:glycolytic process', 'P:pyruvate biosynthetic process', 'P:response to ATP', 'P:response to cAMP', 'P:response to glucose', 'P:response to hypoxia', 'P:response to metal ion', 'P:response to nutrient']"
144,P31415,CASQ1,None,0,26,0,2,17,0,3,,"['C:endoplasmic reticulum', 'C:mitochondrial matrix', 'C:mitochondrion', 'C:sarcoplasmic reticulum', 'C:sarcoplasmic reticulum lumen', 'C:sarcoplasmic reticulum membrane', 'C:smooth endoplasmic reticulum', 'C:T-tubule', 'C:terminal cisterna lumen', 'C:Z disc', 'F:calcium ion binding', 'F:identical protein binding', 'P:endoplasmic reticulum organization', 'P:positive regulation of release of sequestered calcium ion into cytosol', 'P:positive regulation of store-operated calcium channel activity', 'P:protein polymerization', 'P:regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion', 'P:regulation of store-operated calcium entry', 'P:response to denervation involved in regulation of muscle adaptation', 'P:response to heat', 'P:response to organic substance', 'P:sarcomere organization', 'P:skeletal muscle tissue development']"
145,P35080,PFN2,None,0,30,0,1,7,0,2,,"['C:cytoplasm', 'C:cytoskeleton', 'C:extracellular exosome', 'C:glutamatergic synapse', 'C:postsynapse', 'C:presynapse', 'C:Schaffer collateral - CA1 synapse', 'F:actin binding', 'F:actin monomer binding', 'F:ATP hydrolysis activity', 'F:phosphatidylinositol-4,5-bisphosphate binding', 'P:actin cytoskeleton organization', 'P:modification of postsynaptic actin cytoskeleton', 'P:negative regulation of actin filament polymerization', 'P:negative regulation of epithelial cell migration', 'P:negative regulation of ruffle assembly', 'P:positive regulation of actin filament bundle assembly', 'P:positive regulation of actin filament polymerization', 'P:positive regulation of ATP-dependent activity', 'P:positive regulation of peptidyl-serine phosphorylation', 'P:positive regulation of stress fiber assembly', 'P:presynaptic modulation of chemical synaptic transmission', 'P:protein stabilization', 'P:regulation of actin filament polymerization', 'P:regulation of synaptic vesicle exocytosis']"
146,P35663,CYLC1,None,0,19,0,1,0,0,5,,"['C:acrosomal matrix', 'C:cytoskeletal calyx', 'C:nucleus', 'F:structural constituent of cytoskeleton', 'F:structural molecule activity', 'P:cell differentiation', 'P:spermatogenesis']"
147,P36543,ATP6V1E1,None,0,24,0,0,3,0,2,,"['C:apical plasma membrane', 'C:clathrin-coated vesicle membrane', 'C:cytosol', 'C:endosome', 'C:extracellular exosome', 'C:lysosomal membrane', 'C:microvillus', 'C:proton-transporting two-sector ATPase complex', 'C:synaptic vesicle membrane', 'C:vacuolar proton-transporting V-type ATPase, V1 domain', 'F:ATPase binding', 'F:proton-transporting ATPase activity, rotational mechanism', 'P:proton transmembrane transport', 'P:regulation of macroautophagy', 'P:synaptic vesicle lumen acidification']"
