,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Article Count,Interactions,GO Score,Overall Score,GO Terms
130,P22415,USF1,https://www.antibodypedia.com/gene/3773/USF1,364,35.0,777,1,12,5.486309972278817,"['GO:0000785', 'GO:0005794', 'GO:0005654', 'GO:0005634', 'GO:0005667', 'GO:0043425', 'GO:0000981', 'GO:0019899', 'GO:0042826', 'GO:0042802', 'GO:0046982', 'GO:0042803', 'GO:0019901', 'GO:0044877', 'GO:0000978', 'GO:0043565', 'GO:1990837', 'GO:0045990', 'GO:0032869', 'GO:0042593', 'GO:0019086', 'GO:0055088', 'GO:0051918', 'GO:0045944', 'GO:0000432', 'GO:0006357', 'GO:0000430', 'GO:0001666', 'GO:0009411']"
131,P22455,FGFR4,https://www.antibodypedia.com/gene/3922/FGFR4,868,46.0,1281,9,0,1.7698672560040574,"['GO:0005783', 'GO:0005768', 'GO:0005576', 'GO:0005794', 'GO:0005886', 'GO:0043235', 'GO:0030133', 'GO:0005524', 'GO:0017134', 'GO:0005007', 'GO:0008201', 'GO:0016477', 'GO:0042632', 'GO:0008543', 'GO:0042593', 'GO:0018108', 'GO:0055062', 'GO:0043085', 'GO:0008284', 'GO:2000573', 'GO:0070374', 'GO:0010628', 'GO:0045862', 'GO:0046777', 'GO:0070857', 'GO:0010715', 'GO:0019216']"
132,P22531,SPRR2E,https://www.antibodypedia.com/gene/76994/SPRR2E,2,2.0,9,0,0,-0.0041137299894041844,"['GO:0001533', 'GO:0005737', 'GO:0005829', 'GO:0030280', 'GO:0005198', 'GO:0008544', 'GO:0031424', 'GO:0018149']"
133,P22607,FGFR3,https://www.antibodypedia.com/gene/3787/FGFR3,750,45.0,3631,11,0,-0.01728806869898003,"['GO:0009986', 'GO:0005783', 'GO:0005576', 'GO:0005794', 'GO:0005886', 'GO:0043235', 'GO:0030133', 'GO:0005524', 'GO:0017134', 'GO:0005007', 'GO:0042802', 'GO:0004713', 'GO:0070977', 'GO:0030282', 'GO:0060349', 'GO:0007259', 'GO:0007267', 'GO:0002062', 'GO:0035988', 'GO:0003416', 'GO:0001958', 'GO:1902178', 'GO:0008543', 'GO:0000165', 'GO:0048640', 'GO:0008284', 'GO:0070374', 'GO:0043410', 'GO:0051897', 'GO:0010518', 'GO:0042531', 'GO:0001501']"
134,P22897,MRC1,https://www.antibodypedia.com/gene/72990/MRC1,817,43.0,721,1,0,0.8828869970774257,"['GO:0009986', 'GO:0010008', 'GO:0005886', 'GO:0038024', 'GO:0005537', 'GO:0038023', 'GO:0004888', 'GO:0001618', 'GO:0071353', 'GO:0071222', 'GO:0071346', 'GO:0006898']"
135,P23229,ITGA6,https://www.antibodypedia.com/gene/1485/ITGA6,1338,49.0,442,13,1,4.2861500836773825,"['GO:0005912', 'GO:0009986', 'GO:0009897', 'GO:0030175', 'GO:0005925', 'GO:0034675', 'GO:0034676', 'GO:0008305', 'GO:0005886', 'GO:0045296', 'GO:0031994', 'GO:0005178', 'GO:0043236', 'GO:0046872', 'GO:0038132', 'GO:0033627', 'GO:0098609', 'GO:0007160', 'GO:0031589', 'GO:0007044', 'GO:0071407', 'GO:0010668', 'GO:0007229', 'GO:0050900', 'GO:0035878', 'GO:2001237', 'GO:0043065', 'GO:0030335', 'GO:0010811', 'GO:0043547', 'GO:0010976', 'GO:0042327', 'GO:0045944', 'GO:0043589']"
136,P23634,ATP2B4,https://www.antibodypedia.com/gene/4241/ATP2B4,153,22.0,129,5,1,1.376834571300777,"['GO:0016323', 'GO:0005901', 'GO:0098978', 'GO:0043231', 'GO:0016020', 'GO:0045121', 'GO:0005886', 'GO:0048787', 'GO:0032991', 'GO:0036126', 'GO:0097228', 'GO:0030315', 'GO:0030018', 'GO:0005524', 'GO:0016887', 'GO:0015085', 'GO:0005516', 'GO:0046872', 'GO:0050998', 'GO:0036487', 'GO:0005388', 'GO:0030165', 'GO:0019901', 'GO:0030346', 'GO:0097110', 'GO:0017080', 'GO:1901660', 'GO:0098703', 'GO:0097553', 'GO:0070588', 'GO:1905145', 'GO:0071872', 'GO:0030317', 'GO:0021766', 'GO:0006874', 'GO:0034220', 'GO:0071878', 'GO:0016525', 'GO:1900082', 'GO:0043537', 'GO:0070885', 'GO:1903243', 'GO:1902548', 'GO:1903249', 'GO:0010629', 'GO:0045019', 'GO:0051001', 'GO:1902083', 'GO:0098736', 'GO:0003407', 'GO:0038060', 'GO:1903078', 'GO:1903779', 'GO:1902806', 'GO:0051480', 'GO:1902305', 'GO:0006357', 'GO:0051599', 'GO:0007283', 'GO:0150104', 'GO:0014832']"
137,P24844,MYL9,https://www.antibodypedia.com/gene/11734/MYL9,417,34.0,174,25,-2,3.572324539410242,"['GO:0005938', 'GO:0005737', 'GO:0005829', 'GO:0005859', 'GO:0030016', 'GO:0001725', 'GO:0030018', 'GO:0005509', 'GO:0032036', 'GO:0008307', 'GO:0030239', 'GO:0070527', 'GO:0006937']"
138,P25054,APC,https://www.antibodypedia.com/gene/1054/APC,741,44.0,29601,7,1,-21.353340088251134,"['GO:0005912', 'GO:0030877', 'GO:0005923', 'GO:0016342', 'GO:0005813', 'GO:0005737', 'GO:0005829', 'GO:0005794', 'GO:0000776', 'GO:0030027', 'GO:0016328', 'GO:0005874', 'GO:0005654', 'GO:0005634', 'GO:0048471', 'GO:0005886', 'GO:0032587', 'GO:1990909', 'GO:0008013', 'GO:0070840', 'GO:0045295', 'GO:0008017', 'GO:0051010', 'GO:0019901', 'GO:0019887', 'GO:0031625', 'GO:0070830', 'GO:0007155', 'GO:0001708', 'GO:0016477', 'GO:0006974', 'GO:0003203', 'GO:0003170', 'GO:0008286', 'GO:0000281', 'GO:0007094', 'GO:0090090', 'GO:1902807', 'GO:0008285', 'GO:0045736', 'GO:2000134', 'GO:0007026', 'GO:0007399', 'GO:0007389', 'GO:0043065', 'GO:0030335', 'GO:0120162', 'GO:0045732', 'GO:1904781', 'GO:0031274', 'GO:0043161', 'GO:0065003', 'GO:0051988', 'GO:0060632', 'GO:0032886', 'GO:0016055']"
139,P25391,LAMA1,https://www.antibodypedia.com/gene/4123/LAMA1,329,29.0,176,6,0,1.330811779585201,"['GO:0005604', 'GO:0005911', 'GO:0062023', 'GO:0031012', 'GO:0005576', 'GO:0005615', 'GO:0005606', 'GO:0005608', 'GO:0016020', 'GO:0098637', 'GO:0005201', 'GO:0043208', 'GO:0005102', 'GO:0060445', 'GO:0007155', 'GO:0007166', 'GO:0060441', 'GO:0045198', 'GO:0002011', 'GO:0031175', 'GO:0045785', 'GO:2001046', 'GO:0051149', 'GO:0110011', 'GO:0030334', 'GO:0045995', 'GO:0061304']"
140,P28290,ITPRID2,https://www.antibodypedia.com/gene/33982/ITPRID2,107,19.0,26,2,0,0.46591125808819245,"['GO:0005829', 'GO:0005654', 'GO:0005886', 'GO:0051015', 'GO:0005102']"
141,P28340,POLD1,https://www.antibodypedia.com/gene/3821/POLD1,348,36.0,351,12,6,4.85283394867114,"['GO:0016235', 'GO:0005829', 'GO:0043625', 'GO:0016020', 'GO:0005654', 'GO:0000109', 'GO:0005634', 'GO:0008296', 'GO:0051539', 'GO:0003682', 'GO:0003684', 'GO:0003677', 'GO:0003887', 'GO:0019899', 'GO:0046872', 'GO:0000166', 'GO:0006287', 'GO:0034644', 'GO:0071897', 'GO:0006281', 'GO:0006260', 'GO:0045004', 'GO:0000731', 'GO:0006261', 'GO:0070987', 'GO:0055089', 'GO:0006297', 'GO:0009411']"
142,P29353,SHC1,https://www.antibodypedia.com/gene/731/SHC1,1163,44.0,1391,18,2,4.468726638383032,"['GO:0005829', 'GO:0005925', 'GO:0005759', 'GO:0005886', 'GO:0070435', 'GO:0046875', 'GO:0048408', 'GO:0005154', 'GO:0005158', 'GO:0005159', 'GO:0005168', 'GO:0005543', 'GO:0001784', 'GO:0030971', 'GO:0005068', 'GO:0030036', 'GO:0001525', 'GO:0098609', 'GO:0071363', 'GO:0042742', 'GO:0007173', 'GO:0007507', 'GO:0008286', 'GO:0048009', 'GO:0035556', 'GO:0016525', 'GO:0043066', 'GO:0045892', 'GO:0008284', 'GO:0071864', 'GO:0045893', 'GO:0070374', 'GO:0043410', 'GO:0090322']"
143,P30613,PKLR,https://www.antibodypedia.com/gene/1670/PKLR,555,36.0,319,6,0,1.577383247344105,"['GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:1902912', 'GO:0005524', 'GO:0016301', 'GO:0000287', 'GO:0048029', 'GO:0030955', 'GO:0004743', 'GO:0071872', 'GO:0032869', 'GO:0006096', 'GO:0042866', 'GO:0033198', 'GO:0051591', 'GO:0009749', 'GO:0001666', 'GO:0010038', 'GO:0007584']"
144,P31415,CASQ1,https://www.antibodypedia.com/gene/1664/CASQ1,148,26.0,151,17,0,2.7942039828238903,"['GO:0005783', 'GO:0005759', 'GO:0005739', 'GO:0016529', 'GO:0033018', 'GO:0033017', 'GO:0005790', 'GO:0030315', 'GO:0014804', 'GO:0030018', 'GO:0005509', 'GO:0042802', 'GO:0007029', 'GO:0051281', 'GO:1901341', 'GO:0051258', 'GO:0014809', 'GO:2001256', 'GO:0014894', 'GO:0009408', 'GO:0010033', 'GO:0045214', 'GO:0007519']"
145,P35080,PFN2,https://www.antibodypedia.com/gene/33583/PFN2,259,30.0,111,7,0,1.4289088653408026,"['GO:0005737', 'GO:0005856', 'GO:0070062', 'GO:0098978', 'GO:0098794', 'GO:0098793', 'GO:0098685', 'GO:0003779', 'GO:0003785', 'GO:0016887', 'GO:0005546', 'GO:0030036', 'GO:0098885', 'GO:0030837', 'GO:0010633', 'GO:1900028', 'GO:0032233', 'GO:0030838', 'GO:0032781', 'GO:0033138', 'GO:0051496', 'GO:0099171', 'GO:0050821', 'GO:0030833', 'GO:2000300']"
146,P35663,CYLC1,https://www.antibodypedia.com/gene/14277/CYLC1,47,19.0,7,0,0,0.06978729332319214,"['GO:0043159', 'GO:0033150', 'GO:0005634', 'GO:0005200', 'GO:0005198', 'GO:0030154', 'GO:0007283']"
147,P36543,ATP6V1E1,https://www.antibodypedia.com/gene/4024/ATP6V1E1,188,24.0,34,3,0,0.7471036783332476,"['GO:0016324', 'GO:0030665', 'GO:0005829', 'GO:0005768', 'GO:0070062', 'GO:0005765', 'GO:0005902', 'GO:0016469', 'GO:0030672', 'GO:0000221', 'GO:0051117', 'GO:0046961', 'GO:1902600', 'GO:0016241', 'GO:0097401']"
148,P37840,SNCA,https://www.antibodypedia.com/gene/14688/SNCA,3028,54.0,3673,7,2,3.872788374299601,"['GO:0015629', 'GO:0030424', 'GO:0043679', 'GO:0005938', 'GO:0005737', 'GO:0005829', 'GO:0005576', 'GO:0005615', 'GO:0030426', 'GO:0016234', 'GO:0005764', 'GO:0016020', 'GO:0005739', 'GO:0043025', 'GO:0005634', 'GO:0048471', 'GO:0005886', 'GO:0098794', 'GO:0032991', 'GO:0099512', 'GO:0030672', 'GO:0003779', 'GO:0043014', 'GO:0005509', 'GO:0005507', 'GO:1903136', 'GO:0043027', 'GO:0070840', 'GO:0008198', 'GO:0042393', 'GO:0030544', 'GO:0042802', 'GO:0019894', 'GO:0008289', 'GO:0000287', 'GO:0060090', 'GO:0016491', 'GO:0005543', 'GO:0051219', 'GO:0004860', 'GO:0000149', 'GO:0048156', 'GO:0000976', 'GO:0008270', 'GO:0006919', 'GO:0008344', 'GO:1990000', 'GO:0071280', 'GO:0071872', 'GO:0034599', 'GO:0007268', 'GO:0042416', 'GO:0051583', 'GO:0060079', 'GO:0006631', 'GO:0060291', 'GO:0001774', 'GO:0042775', 'GO:0007006', 'GO:0043066', 'GO:1904715', 'GO:0043154', 'GO:0051585', 'GO:0045920', 'GO:0031115', 'GO:1902957', 'GO:0032769', 'GO:0043524', 'GO:0051622', 'GO:0010642', 'GO:0006469', 'GO:0051612', 'GO:0070495', 'GO:0000122', 'GO:0032410', 'GO:0051402', 'GO:0006638', 'GO:0006644', 'GO:0043065', 'GO:0045807', 'GO:0045921', 'GO:1903284', 'GO:1903285', 'GO:0050729', 'GO:0060732', 'GO:0001956', 'GO:0033138', 'GO:1904377', 'GO:0071902', 'GO:0001921', 'GO:0051281', 'GO:0035543', 'GO:0031648', 'GO:0051262', 'GO:0031623', 'GO:0050812', 'GO:0014059', 'GO:0014048', 'GO:0040012', 'GO:0048169', 'GO:0043030', 'GO:0051621', 'GO:0010517', 'GO:1905606', 'GO:1903426', 'GO:1903421', 'GO:0022898', 'GO:0070555', 'GO:0010040', 'GO:0032496', 'GO:0032026', 'GO:0034341', 'GO:0009410', 'GO:0035493', 'GO:0097435', 'GO:0050808', 'GO:0048488', 'GO:0016079', 'GO:0016082', 'GO:0048489']"
149,P40189,IL6ST,https://www.antibodypedia.com/gene/2448/IL6ST,817,39.0,1272,1,0,0.4343812201146924,"['GO:0070110', 'GO:0030425', 'GO:0009897', 'GO:0070062', 'GO:0005576', 'GO:0005615', 'GO:0005896', 'GO:0016020', 'GO:0045121', 'GO:0043025', 'GO:0005900', 'GO:0005886', 'GO:0043235', 'GO:0004897', 'GO:0005127', 'GO:0015026', 'GO:0019955', 'GO:0004896', 'GO:0019838', 'GO:0042802', 'GO:0019970', 'GO:0004921', 'GO:0045509', 'GO:0030296', 'GO:0097110', 'GO:0070120', 'GO:0019221', 'GO:0005977', 'GO:0038154', 'GO:0070106', 'GO:0070102', 'GO:0060576', 'GO:0048861', 'GO:0043066', 'GO:0070104', 'GO:0043524', 'GO:0038165', 'GO:0002675', 'GO:0002821', 'GO:0048711', 'GO:0010613', 'GO:0008284', 'GO:0045747', 'GO:0045669', 'GO:1901731', 'GO:0042102', 'GO:0042531', 'GO:0010575', 'GO:0034097', 'GO:0072540']"
150,P40394,ADH7,https://www.antibodypedia.com/gene/25891/ADH7,357,31.0,135,1,0,0.6210910416227907,"['GO:0005829', 'GO:0005886', 'GO:0004022', 'GO:0004024', 'GO:0004031', 'GO:0004745', 'GO:0035276', 'GO:0050153', 'GO:0048019', 'GO:0019841', 'GO:0008270', 'GO:0010430', 'GO:0009617', 'GO:0045471', 'GO:0042573', 'GO:0001523', 'GO:0042572']"
151,P40855,PEX19,https://www.antibodypedia.com/gene/34274/PEX19,366,29.0,180,7,0,1.5445931548226106,"['GO:0031526', 'GO:0005737', 'GO:0005829', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0005778', 'GO:0005777', 'GO:0032991', 'GO:0051117', 'GO:0036105', 'GO:0033328', 'GO:0140597', 'GO:0061077', 'GO:0072663', 'GO:1900131', 'GO:0016559', 'GO:0016557', 'GO:0007031', 'GO:0045046', 'GO:0050821', 'GO:0006625']"
152,P41214,EIF2D,https://www.antibodypedia.com/gene/34586/EIF2D,117,25.0,39,2,-3,-0.8727485880750514,"['GO:0005737', 'GO:0005829', 'GO:0016604', 'GO:0003723', 'GO:0038023', 'GO:0003743', 'GO:0001731', 'GO:0006886', 'GO:0075522', 'GO:0032790']"
153,P43358,MAGEA4,https://www.antibodypedia.com/gene/17051/MAGEA4,385,32.0,380,0,1,0.7570680320936791,"['GO:0005634', 'GO:0042826', 'GO:0043066', 'GO:0000122', 'GO:0045787']"
154,P43362,MAGEA9,https://www.antibodypedia.com/gene/72928/MAGEA9B,2,1.0,40,0,1,0.41869897220080277,"['GO:0005634', 'GO:0042826', 'GO:0000122']"
155,P43362,MAGEA9B,https://www.antibodypedia.com/gene/72928/MAGEA9B,2,1.0,2,0,1,0.44963040509478436,"['GO:0005634', 'GO:0042826', 'GO:0000122']"
156,P43362,MAGEA9,https://www.antibodypedia.com/gene/72928/MAGEA9B,2,1.0,40,0,1,0.41869897220080277,"['GO:0005634', 'GO:0042826', 'GO:0000122']"
157,P43362,MAGEA9B,https://www.antibodypedia.com/gene/72928/MAGEA9B,2,1.0,2,0,1,0.44963040509478436,"['GO:0005634', 'GO:0042826', 'GO:0000122']"
158,P45378,TNNT3,https://www.antibodypedia.com/gene/22978/TNNT3,279,30.0,128,27,-1,4.151402339771321,"['GO:0005829', 'GO:0005861', 'GO:0048306', 'GO:0005523', 'GO:0030172', 'GO:0031013', 'GO:1903612', 'GO:0043462', 'GO:0006942', 'GO:0045214', 'GO:0003009']"
159,P46108,CRK,https://www.antibodypedia.com/gene/4185/CRK,604,37.0,1957,14,1,2.0317216980281225,"['GO:0015629', 'GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0016020', 'GO:0031594', 'GO:0005634', 'GO:0005886', 'GO:0032991', 'GO:0008092', 'GO:0046875', 'GO:0005159', 'GO:0019900', 'GO:0001784', 'GO:0045309', 'GO:1990782', 'GO:0030971', 'GO:0097110', 'GO:0042169', 'GO:0017124', 'GO:0035591', 'GO:0030159', 'GO:0031625', 'GO:0030036', 'GO:0060326', 'GO:0016477', 'GO:0008283', 'GO:1990859', 'GO:1990314', 'GO:1990090', 'GO:0071732', 'GO:0071560', 'GO:0098749', 'GO:0021987', 'GO:0016358', 'GO:0007167', 'GO:0048013', 'GO:0030010', 'GO:0035685', 'GO:0021766', 'GO:0006629', 'GO:2000146', 'GO:0045953', 'GO:0061045', 'GO:0001764', 'GO:0030307', 'GO:0046330', 'GO:0035022', 'GO:1904395', 'GO:0014911', 'GO:1900026', 'GO:0098698', 'GO:0072657', 'GO:0038026', 'GO:0032956', 'GO:0033628', 'GO:0008360', 'GO:0050773', 'GO:0043087', 'GO:1902531', 'GO:0009966', 'GO:2000404', 'GO:0006357', 'GO:0061847', 'GO:0035728', 'GO:0042542', 'GO:1901652', 'GO:0001878']"
160,P46527,CDKN1B,https://www.antibodypedia.com/gene/3295/CDKN1B,2691,47.0,3040,7,2,3.846796062729134,"['GO:0031464', 'GO:0005737', 'GO:0005829', 'GO:0005768', 'GO:0043231', 'GO:0005654', 'GO:0005634', 'GO:0030332', 'GO:0019914', 'GO:0004861', 'GO:0030544', 'GO:0060090', 'GO:0140678', 'GO:0019901', 'GO:0004860', 'GO:0019903', 'GO:0044877', 'GO:0051087', 'GO:1990757', 'GO:0031625', 'GO:0048102', 'GO:0071236', 'GO:0071456', 'GO:0071285', 'GO:0071407', 'GO:0090398', 'GO:0006977', 'GO:1904019', 'GO:0060767', 'GO:0000082', 'GO:0007507', 'GO:0048839', 'GO:1905179', 'GO:0030308', 'GO:0008285', 'GO:1904030', 'GO:0045736', 'GO:0045892', 'GO:1904036', 'GO:0060770', 'GO:0033673', 'GO:0045930', 'GO:0042326', 'GO:1904706', 'GO:0007219', 'GO:0051168', 'GO:0001890', 'GO:0008284', 'GO:0045740', 'GO:0031116', 'GO:0045732', 'GO:0001934', 'GO:0006813', 'GO:0051726', 'GO:1902806', 'GO:0030334', 'GO:0000079', 'GO:0007096', 'GO:2000045', 'GO:1902746', 'GO:0043200', 'GO:0046686', 'GO:0032355', 'GO:0009749', 'GO:0043434', 'GO:0009410', 'GO:0007605']"
161,P48059,LIMS1,https://www.antibodypedia.com/gene/33091/LIMS1,274,32.0,172,1,1,0.905716201971534,"['GO:0005911', 'GO:0005737', 'GO:0005829', 'GO:0005925', 'GO:0048471', 'GO:0005886', 'GO:0019901', 'GO:0008270', 'GO:0098609', 'GO:0045216', 'GO:0071560', 'GO:0045184', 'GO:0045892', 'GO:0043123', 'GO:0010811', 'GO:0051894', 'GO:0010628', 'GO:0043547', 'GO:2001046', 'GO:1900026', 'GO:0033209']"
162,P48739,PITPNB,https://www.antibodypedia.com/gene/24304/PITPNB,295,28.0,18,1,0,0.61675108895682,"['GO:0005737', 'GO:0005789', 'GO:0005794', 'GO:0000139', 'GO:0031210', 'GO:0120019', 'GO:0008525', 'GO:0035091', 'GO:0008526', 'GO:0140338', 'GO:0006629', 'GO:0006997', 'GO:0015914', 'GO:0006890']"
163,P48741,,,0,0.0,0,0,0,0.0,"['GO:0072562', 'GO:0005737', 'GO:0070062', 'GO:0005634', 'GO:0005524', 'GO:0016887', 'GO:0140662', 'GO:0031072', 'GO:0044183', 'GO:0051085', 'GO:0042026']"
164,P49023,PXN,https://www.antibodypedia.com/gene/3546/PXN,1619,47.0,1136,26,0,5.773469733718313,"['GO:0005938', 'GO:0005911', 'GO:0005829', 'GO:0005925', 'GO:0030027', 'GO:0005875', 'GO:0005886', 'GO:0001725', 'GO:0008013', 'GO:0046872', 'GO:0038191', 'GO:0019903', 'GO:0017166', 'GO:0007155', 'GO:0016477', 'GO:0034614', 'GO:0043542', 'GO:0060396', 'GO:0051496', 'GO:0007172', 'GO:0007165', 'GO:0034446', 'GO:0007179']"
165,P49441,INPP1,https://www.antibodypedia.com/gene/34038/INPP1,142,21.0,29,1,0,0.36206887237413127,"['GO:0005829', 'GO:0052829', 'GO:0004441', 'GO:0046872', 'GO:0006796', 'GO:0046854', 'GO:0007165']"
166,P49454,CENPF,https://www.antibodypedia.com/gene/4038/CENPF,288,35.0,423,20,2,4.166580435429547,"['GO:0005930', 'GO:0005813', 'GO:0000785', 'GO:0000775', 'GO:0036064', 'GO:0097539', 'GO:0005737', 'GO:0005829', 'GO:0000776', 'GO:0030496', 'GO:0005635', 'GO:0016363', 'GO:0031965', 'GO:0005654', 'GO:0005634', 'GO:0000940', 'GO:0048471', 'GO:0045120', 'GO:0005819', 'GO:0000922', 'GO:0003682', 'GO:0140297', 'GO:0070840', 'GO:0008017', 'GO:0042803', 'GO:0030154', 'GO:0051301', 'GO:0007059', 'GO:0071897', 'GO:0001822', 'GO:0051382', 'GO:0051310', 'GO:0000278', 'GO:0007094', 'GO:0007517', 'GO:0045892', 'GO:0015031', 'GO:0010389', 'GO:0016202', 'GO:0009410', 'GO:0021591']"
167,P49754,VPS41,https://www.antibodypedia.com/gene/13056/VPS41,124,30.0,125,6,0,1.0430811096279464,"['GO:0030136', 'GO:0005829', 'GO:0031901', 'GO:0010008', 'GO:0005794', 'GO:0005798', 'GO:0030897', 'GO:0005770', 'GO:0031902', 'GO:1902501', 'GO:0005765', 'GO:0005764', 'GO:0016020', 'GO:0015630', 'GO:0042802', 'GO:0046872', 'GO:0008017', 'GO:0009267', 'GO:0034058', 'GO:0008333', 'GO:0048193', 'GO:1902774', 'GO:0016236', 'GO:0006623', 'GO:0035542', 'GO:0016192']"
168,P50993,ATP1A2,https://www.antibodypedia.com/gene/34270/ATP1A2,162,26.0,492,4,0,0.4901535545707988,"['GO:0005901', 'GO:0042995', 'GO:0009986', 'GO:0005737', 'GO:0043197', 'GO:0005783', 'GO:0005768', 'GO:1903561', 'GO:0014704', 'GO:0016020', 'GO:0043025', 'GO:0031090', 'GO:0005886', 'GO:0005890', 'GO:0030315', 'GO:0005524', 'GO:0016887', 'GO:0019829', 'GO:0005391', 'GO:0016791', 'GO:0030955', 'GO:0046982', 'GO:0051087', 'GO:0031402', 'GO:0005496', 'GO:1990239', 'GO:0008344', 'GO:0021764', 'GO:0046034', 'GO:0001662', 'GO:0060048', 'GO:0086064', 'GO:0071260', 'GO:0071383', 'GO:0030007', 'GO:0006883', 'GO:0019852', 'GO:0040011', 'GO:0035641', 'GO:0086012', 'GO:0086009', 'GO:0098655', 'GO:1903170', 'GO:1903280', 'GO:0051481', 'GO:0045822', 'GO:0045988', 'GO:0019227', 'GO:0001504', 'GO:0021989', 'GO:0045823', 'GO:1990573', 'GO:0071805', 'GO:0006813', 'GO:1902600', 'GO:0008217', 'GO:0086004', 'GO:0010881', 'GO:0051946', 'GO:0006937', 'GO:0002087', 'GO:0006940', 'GO:0006942', 'GO:0051966', 'GO:0002026', 'GO:0019229', 'GO:0055119', 'GO:0010996', 'GO:1903416', 'GO:0035094', 'GO:0035864', 'GO:0036376', 'GO:0035725', 'GO:0006814', 'GO:0150104', 'GO:0008542']"
169,P51153,RAB13,https://www.antibodypedia.com/gene/1206/RAB13,138,29.0,136,6,0,1.0566122236623026,"['GO:0005923', 'GO:0030054', 'GO:0031410', 'GO:0005829', 'GO:0030139', 'GO:0005768', 'GO:0070062', 'GO:0032593', 'GO:0030027', 'GO:0016328', 'GO:0043005', 'GO:0005886', 'GO:0055037', 'GO:0055038', 'GO:0008021', 'GO:0005802', 'GO:0030140', 'GO:0005525', 'GO:0003924', 'GO:0070830', 'GO:0032869', 'GO:0030866', 'GO:0032456', 'GO:0016197', 'GO:0035767', 'GO:0097368', 'GO:0006887', 'GO:0006893', 'GO:0031175', 'GO:0010737', 'GO:1902463', 'GO:0072659', 'GO:0009306', 'GO:0044795']"
170,P51508,ZNF81,https://www.antibodypedia.com/gene/5409/ZNF81,145,20.0,18,0,3,1.5623668252433338,"['GO:0005634', 'GO:0000981', 'GO:0046872', 'GO:0000978', 'GO:0006357']"
171,P51580,TPMT,https://www.antibodypedia.com/gene/10352/TPMT,429,31.0,1281,0,0,-0.3537117757629594,"['GO:0005829', 'GO:1904047', 'GO:0008119', 'GO:0032259', 'GO:0006139', 'GO:0042178', 'GO:0006805']"
172,P51654,GPC3,https://www.antibodypedia.com/gene/424/GPC3,1542,42.0,1224,2,0,1.7954644987405912,"['GO:0009986', 'GO:0062023', 'GO:0005788', 'GO:0005796', 'GO:0043202', 'GO:0005886', 'GO:0098552', 'GO:0060422', 'GO:0009653', 'GO:0009948', 'GO:0010171', 'GO:0030282', 'GO:0001658', 'GO:0060070', 'GO:0016477', 'GO:0042074', 'GO:0072111', 'GO:0072203', 'GO:0060976', 'GO:0035116', 'GO:0050673', 'GO:0030324', 'GO:0072138', 'GO:0072180', 'GO:0090090', 'GO:0050680', 'GO:0045926', 'GO:0045879', 'GO:0030316', 'GO:0030513', 'GO:0090263', 'GO:0045807', 'GO:0046326', 'GO:0045732', 'GO:0045880', 'GO:2000096', 'GO:0060828', 'GO:2000050', 'GO:1905475', 'GO:0009617', 'GO:0007224', 'GO:0060071']"
173,P51955,NEK2,https://www.antibodypedia.com/gene/4308/NEK2,462,37.0,530,15,0,2.6747833329025803,"['GO:0005813', 'GO:0000794', 'GO:0005737', 'GO:0005829', 'GO:0000776', 'GO:0005874', 'GO:0030496', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0032991', 'GO:0000922', 'GO:0005524', 'GO:0046872', 'GO:0004672', 'GO:0019903', 'GO:0106310', 'GO:0004674', 'GO:0001824', 'GO:0051301', 'GO:0051299', 'GO:0007059', 'GO:0051321', 'GO:0000278', 'GO:0090307', 'GO:1903126', 'GO:0051973', 'GO:1904355', 'GO:0032212', 'GO:0046777', 'GO:0006468', 'GO:0051988', 'GO:0046602', 'GO:0007088', 'GO:0051225']"
174,P52179,MYOM1,https://www.antibodypedia.com/gene/2827/MYOM1,165,27.0,58,11,-1,1.5034846777767021,"['GO:0031430', 'GO:0005863', 'GO:0042802', 'GO:0019900', 'GO:0042803', 'GO:0008307', 'GO:0002074', 'GO:0010628', 'GO:0050714', 'GO:0010737', 'GO:0045214']"
175,P52434,POLR2H,https://www.antibodypedia.com/gene/33820/POLR2H,281,30.0,18,13,4,4.277804759278773,"['GO:0005829', 'GO:0005654', 'GO:0005634', 'GO:0032993', 'GO:0005736', 'GO:0005665', 'GO:0005666', 'GO:0003899', 'GO:0003697', 'GO:0006360', 'GO:0006366', 'GO:0006383']"
176,P52741,ZNF134,https://www.antibodypedia.com/gene/1817/ZNF134,196,28.0,6,1,3,1.8116569115713497,"['GO:0005654', 'GO:0001227', 'GO:0046872', 'GO:0000978', 'GO:0000122', 'GO:0001817', 'GO:0002682']"
