,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Article Count,Interactions,GO Score,UV Score,Overall Score,GO Terms
116,P15153,RAC2,https://www.antibodypedia.com/gene/25898/RAC2,384,34,958,22,0,-1,2.033872915093408,"['C:cytosol', 'C:endoplasmic reticulum membrane', 'C:extracellular exosome', 'C:focal adhesion', 'C:lamellipodium', 'C:mitochondrial outer membrane', 'C:NADPH oxidase complex', 'C:nuclear envelope', 'C:phagocytic vesicle membrane', 'C:plasma membrane', 'F:GTP binding', 'F:GTPase activity', 'F:protein kinase regulator activity', 'P:actin filament organization', 'P:bone resorption', 'P:cell projection assembly', 'P:chemotaxis', 'P:erythrocyte enucleation', 'P:G protein-coupled receptor signaling pathway', 'P:lymphocyte aggregation', 'P:mast cell proliferation', 'P:positive regulation of lamellipodium assembly', 'P:positive regulation of mast cell proliferation', 'P:positive regulation of neutrophil chemotaxis', 'P:positive regulation of protein targeting to mitochondrion', 'P:regulation of cell-substrate adhesion', 'P:regulation of hydrogen peroxide metabolic process', 'P:regulation of mast cell chemotaxis', 'P:regulation of mast cell degranulation', 'P:regulation of neutrophil migration', 'P:regulation of respiratory burst', 'P:regulation of T cell proliferation', 'P:respiratory burst', 'P:signal transduction', 'P:small GTPase-mediated signal transduction']"
117,P15735,PHKG2,https://www.antibodypedia.com/gene/13792/PHKG2,404,30,50,2,0,1,2.1938219032240633,"['C:cytosol', 'C:phosphorylase kinase complex', 'F:ATP binding', 'F:calmodulin binding', 'F:enzyme binding', 'F:phosphorylase kinase activity', 'F:protein serine/threonine kinase activity', 'F:tau-protein kinase activity', 'P:generation of precursor metabolites and energy', 'P:glycogen biosynthetic process', 'P:glycogen catabolic process', 'P:glycogen metabolic process', 'P:positive regulation of glycogen catabolic process', 'P:protein phosphorylation']"
118,P16144,ITGB4,https://www.antibodypedia.com/gene/3934/ITGB4,1048,45,408,11,0,1,4.35509459556668,"['C:basal plasma membrane', 'C:basement membrane', 'C:cell junction', 'C:cell leading edge', 'C:cell surface', 'C:extracellular exosome', 'C:focal adhesion', 'C:hemidesmosome', 'C:integrin complex', 'C:nuclear membrane', 'C:nucleolus', 'C:plasma membrane', 'C:receptor complex', 'F:G protein-coupled receptor binding', 'F:integrin binding', 'F:metal ion binding', 'P:autophagy', 'P:cell adhesion', 'P:cell motility', 'P:cell-cell adhesion', 'P:cell-matrix adhesion', 'P:filopodium assembly', 'P:hemidesmosome assembly', 'P:integrin-mediated signaling pathway', 'P:mesodermal cell differentiation', 'P:nail development', 'P:peripheral nervous system myelin formation', 'P:response to wounding', 'P:skin morphogenesis', 'P:trophoblast cell migration']"
119,P17540,CKMT2,https://www.antibodypedia.com/gene/12782/CKMT2,412,33,56,9,0,1,3.3050746023456794,"['C:mitochondrial inner membrane', 'C:mitochondrion', 'F:ATP binding', 'F:creatine kinase activity', 'P:muscle contraction', 'P:phosphocreatine biosynthetic process']"
120,P17927,CR1,https://www.antibodypedia.com/gene/4269/CR1,1378,43,4300,0,0,-1,-2.5573520129391483,"['C:cell surface', 'C:cytoskeleton', 'C:extracellular exosome', 'C:extracellular space', 'C:ficolin-1-rich granule membrane', 'C:plasma membrane', 'C:plasma membrane raft', 'C:secretory granule membrane', 'F:complement component C3b binding', 'F:complement component C3b receptor activity', 'F:complement component C4b binding', 'F:complement component C4b receptor activity', 'F:virus receptor activity', 'P:ATP export', 'P:complement activation, alternative pathway', 'P:complement activation, classical pathway', 'P:complement receptor mediated signaling pathway', 'P:immune complex clearance by erythrocytes', 'P:negative regulation of activation of membrane attack complex', 'P:negative regulation of complement activation', 'P:negative regulation of complement activation, alternative pathway', 'P:negative regulation of complement activation, classical pathway', 'P:negative regulation of complement-dependent cytotoxicity', 'P:negative regulation of immunoglobulin production', 'P:negative regulation of interleukin-2 production', 'P:negative regulation of plasma cell differentiation', 'P:negative regulation of serine-type endopeptidase activity', 'P:negative regulation of T cell proliferation', 'P:negative regulation of type II interferon production', 'P:plasma membrane organization', 'P:positive regulation of activation of membrane attack complex', 'P:positive regulation of cell population proliferation', 'P:positive regulation of regulatory T cell differentiation', 'P:positive regulation of serine-type endopeptidase activity', 'P:T cell mediated immunity']"
121,P18858,LIG1,https://www.antibodypedia.com/gene/18267/LIG1,530,38,385,15,5,1,6.290655212279669,"['C:intracellular membrane-bounded organelle', 'C:mitochondrion', 'C:nucleoplasm', 'C:nucleus', 'F:ATP binding', 'F:DNA binding', 'F:DNA ligase (ATP) activity', 'F:DNA ligase activity', 'F:metal ion binding', 'P:anatomical structure morphogenesis', 'P:base-excision repair', 'P:base-excision repair, gap-filling', 'P:cell division', 'P:DNA biosynthetic process', 'P:DNA ligation', 'P:DNA recombination', 'P:DNA repair', 'P:lagging strand elongation', 'P:mismatch repair', 'P:Okazaki fragment processing involved in mitotic DNA replication']"
122,P18887,XRCC1,https://www.antibodypedia.com/gene/1863/XRCC1,591,42,2541,8,6,1,3.9542990190721334,"['C:chromatin', 'C:chromosome, telomeric region', 'C:ERCC4-ERCC1 complex', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:site of DNA damage', ""F:3' overhang single-stranded DNA endodeoxyribonuclease activity"", 'F:ADP-D-ribose modification-dependent protein binding', 'F:enzyme binding', 'F:oxidized DNA binding', 'F:poly-ADP-D-ribose binding', 'P:base-excision repair', 'P:cerebellum morphogenesis', 'P:double-strand break repair via nonhomologous end joining', 'P:hippocampus development', 'P:negative regulation of protection from non-homologous end joining at telomere', 'P:negative regulation of protein ADP-ribosylation', 'P:positive regulation of DNA ligase activity', 'P:positive regulation of single strand break repair', 'P:replication-born double-strand break repair via sister chromatid exchange', 'P:response to hydroperoxide', 'P:response to hypoxia', 'P:response to organic substance', 'P:response to xenobiotic stimulus', 'P:single strand break repair', 'P:telomeric DNA-containing double minutes formation', 'P:voluntary musculoskeletal movement']"
123,P19237,TNNI1,https://www.antibodypedia.com/gene/3993/TNNI1,384,29,102,24,0,1,5.586868209133197,"['C:cytosol', 'C:troponin complex', 'F:actin binding', 'P:cardiac muscle contraction', 'P:regulation of striated muscle contraction', 'P:skeletal muscle contraction', 'P:transition between fast and slow fiber', 'P:ventricular cardiac muscle tissue morphogenesis']"
124,P19388,POLR2E,https://www.antibodypedia.com/gene/22550/POLR2E,310,28,32,19,4,1,6.431489679553621,"['C:cytosol', 'C:nucleoplasm', 'C:nucleus', 'C:RNA polymerase I complex', 'C:RNA polymerase II, core complex', 'C:RNA polymerase III complex', 'C:RPAP3/R2TP/prefoldin-like complex', 'F:DNA binding', ""F:DNA-directed 5'-3' RNA polymerase activity"", 'P:protein stabilization', 'P:transcription by RNA polymerase II', 'P:transcription elongation by RNA polymerase I', 'P:tRNA transcription by RNA polymerase III']"
125,P19438,TNFRSF1A,https://www.antibodypedia.com/gene/1320/TNFRSF1A,1485,50,1429,10,2,1,4.915536181491884,"['C:cell surface', 'C:extracellular region', 'C:extracellular space', 'C:Golgi membrane', 'C:membrane', 'C:membrane raft', 'C:plasma membrane', 'C:receptor complex', 'C:tumor necrosis factor receptor superfamily complex', 'F:tumor necrosis factor binding', 'F:tumor necrosis factor receptor activity', 'P:aortic valve development', 'P:cellular response to mechanical stimulus', 'P:cytokine-mediated signaling pathway', 'P:defense response to bacterium', 'P:extrinsic apoptotic signaling pathway via death domain receptors', 'P:inflammatory response', 'P:intrinsic apoptotic signaling pathway in response to DNA damage', 'P:negative regulation of cardiac muscle hypertrophy', 'P:negative regulation of extracellular matrix constituent secretion', 'P:negative regulation of inflammatory response', 'P:positive regulation of amide metabolic process', 'P:positive regulation of apoptotic process involved in morphogenesis', 'P:positive regulation of canonical NF-kappaB signal transduction', 'P:positive regulation of execution phase of apoptosis', 'P:positive regulation of inflammatory response', 'P:positive regulation of lipid metabolic process', 'P:positive regulation of transcription by RNA polymerase II', 'P:positive regulation of tyrosine phosphorylation of STAT protein', 'P:prostaglandin metabolic process', 'P:protein localization to plasma membrane', 'P:pulmonary valve development', 'P:regulation of establishment of endothelial barrier', 'P:regulation of membrane lipid metabolic process', 'P:regulation of tumor necrosis factor-mediated signaling pathway', 'P:transcription by RNA polymerase II', 'P:tumor necrosis factor-mediated signaling pathway']"
126,P20020,ATP2B1,https://www.antibodypedia.com/gene/2168/ATP2B1,128,28,246,3,0,1,1.7487286871993448,"['C:basolateral plasma membrane', 'C:cell projection', 'C:extracellular exosome', 'C:glutamatergic synapse', 'C:immunological synapse', 'C:intracellular membrane-bounded organelle', 'C:membrane', 'C:nucleoplasm', 'C:photoreceptor ribbon synapse', 'C:plasma membrane', 'C:presynaptic membrane', 'C:synaptic vesicle membrane', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:calcium ion transmembrane transporter activity', 'F:calmodulin binding', 'F:metal ion binding', 'F:molecular function inhibitor activity', 'F:P-type calcium transporter activity', 'F:PDZ domain binding', 'P:calcium ion export across plasma membrane', 'P:monoatomic ion transmembrane transport', 'P:negative regulation of cytokine production', 'P:negative regulation of cytosolic calcium ion concentration', 'P:positive regulation of bone mineralization', 'P:positive regulation of calcium ion transport', 'P:regulation of blood pressure', 'P:regulation of cardiac conduction', 'P:regulation of cellular response to insulin stimulus', 'P:regulation of cytosolic calcium ion concentration', 'P:regulation of vascular associated smooth muscle contraction']"
127,P20340,RAB6A,https://www.antibodypedia.com/gene/4093/RAB6A,285,32,123,10,-1,1,2.7805913423080497,"['C:acrosomal membrane', 'C:cytoplasmic vesicle', 'C:cytosol', 'C:endomembrane system', 'C:endoplasmic reticulum membrane', 'C:endosome to plasma membrane transport vesicle', 'C:extracellular exosome', 'C:Golgi apparatus', 'C:Golgi membrane', 'C:membrane', 'C:plasma membrane', 'C:secretory granule membrane', 'C:trans-Golgi network', 'C:trans-Golgi network membrane', 'F:GTP binding', 'F:GTPase activity', 'F:myosin V binding', 'F:protein domain specific binding', 'P:antigen processing and presentation', 'P:early endosome to Golgi transport', 'P:intra-Golgi vesicle-mediated transport', 'P:intracellular protein transport', 'P:minus-end-directed organelle transport along microtubule', 'P:neuron projection development', 'P:peptidyl-cysteine methylation', 'P:protein localization to Golgi apparatus', 'P:protein localization to Golgi membrane', 'P:retrograde transport, endosome to Golgi', 'P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum']"
128,P21359,NF1,https://www.antibodypedia.com/gene/3471/NF1,473,38,8933,17,0,0,-3.8311494134477306,"['C:axon', 'C:cytoplasm', 'C:cytosol', 'C:dendrite', 'C:glutamatergic synapse', 'C:membrane', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:plasma membrane', 'C:presynapse', 'F:GTPase activator activity', 'F:phosphatidylcholine binding', 'F:phosphatidylethanolamine binding', 'P:actin cytoskeleton organization', 'P:adrenal gland development', 'P:amygdala development', 'P:angiogenesis', 'P:artery morphogenesis', 'P:brain development', 'P:camera-type eye morphogenesis', 'P:cell communication', 'P:cellular response to heat', 'P:cerebral cortex development', 'P:cognition', 'P:collagen fibril organization', 'P:endothelial cell proliferation', 'P:extracellular matrix organization', 'P:extrinsic apoptotic signaling pathway in absence of ligand', 'P:extrinsic apoptotic signaling pathway via death domain receptors', 'P:fibroblast proliferation', 'P:forebrain astrocyte development', 'P:forebrain morphogenesis', 'P:gamma-aminobutyric acid secretion, neurotransmission', 'P:glutamate secretion, neurotransmission', 'P:hair follicle maturation', 'P:heart development', 'P:liver development', 'P:long-term synaptic potentiation', 'P:MAPK cascade', 'P:mast cell apoptotic process', 'P:mast cell proliferation', 'P:metanephros development', 'P:myelination in peripheral nervous system', 'P:myeloid leukocyte migration', 'P:negative regulation of angiogenesis', 'P:negative regulation of astrocyte differentiation', 'P:negative regulation of cell migration', 'P:negative regulation of cell-matrix adhesion', 'P:negative regulation of endothelial cell proliferation', 'P:negative regulation of fibroblast proliferation', 'P:negative regulation of leukocyte migration', 'P:negative regulation of MAP kinase activity', 'P:negative regulation of MAPK cascade', 'P:negative regulation of mast cell proliferation', 'P:negative regulation of neuroblast proliferation', 'P:negative regulation of neurotransmitter secretion', 'P:negative regulation of oligodendrocyte differentiation', 'P:negative regulation of osteoclast differentiation', 'P:negative regulation of protein import into nucleus', 'P:negative regulation of protein kinase activity', 'P:negative regulation of Rac protein signal transduction', 'P:negative regulation of Ras protein signal transduction', 'P:negative regulation of Schwann cell migration', 'P:negative regulation of Schwann cell proliferation', 'P:negative regulation of stem cell proliferation', 'P:negative regulation of vascular associated smooth muscle cell migration', 'P:neural tube development', 'P:neuroblast proliferation', 'P:neuron apoptotic process', 'P:observational learning', 'P:oligodendrocyte differentiation', 'P:osteoblast differentiation', 'P:osteoclast differentiation', 'P:peripheral nervous system development', 'P:phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:pigmentation', 'P:positive regulation of adenylate cyclase activity', 'P:positive regulation of apoptotic process', 'P:positive regulation of endothelial cell proliferation', 'P:positive regulation of extrinsic apoptotic signaling pathway in absence of ligand', 'P:positive regulation of GTPase activity', 'P:positive regulation of mast cell apoptotic process', 'P:positive regulation of neuron apoptotic process', 'P:positive regulation of vascular associated smooth muscle cell proliferation', 'P:protein import into nucleus', 'P:Rac protein signal transduction', 'P:Ras protein signal transduction', 'P:regulation of angiogenesis', 'P:regulation of blood vessel endothelial cell migration', 'P:regulation of bone resorption', 'P:regulation of cell-matrix adhesion', 'P:regulation of ERK1 and ERK2 cascade', 'P:regulation of gene expression', 'P:regulation of glial cell differentiation', 'P:regulation of GTPase activity', 'P:regulation of long-term neuronal synaptic plasticity', 'P:regulation of long-term synaptic potentiation', 'P:regulation of postsynapse organization', 'P:regulation of synaptic transmission, GABAergic', 'P:response to hypoxia', 'P:Schwann cell development', 'P:Schwann cell migration', 'P:Schwann cell proliferation', 'P:skeletal muscle tissue development', 'P:smooth muscle tissue development', 'P:spinal cord development', 'P:stem cell proliferation', 'P:sympathetic nervous system development', 'P:vascular associated smooth muscle cell migration', 'P:vascular associated smooth muscle cell proliferation', 'P:visual learning', 'P:wound healing']"
129,P22105,TNXB,https://www.antibodypedia.com/gene/3947/TNXB,218,30,211,4,0,1,2.079345270220209,"['C:collagen-containing extracellular matrix', 'C:extracellular exosome', 'C:extracellular matrix', 'C:extracellular region', 'C:extracellular space', 'C:intracellular membrane-bounded organelle', 'C:tenascin complex', 'F:collagen binding', 'F:collagen fibril binding', 'F:extracellular matrix structural constituent', 'F:heparin binding', 'F:integrin binding', 'P:actin cytoskeleton organization', 'P:cell adhesion', 'P:cell-cell adhesion', 'P:cell-matrix adhesion', 'P:collagen fibril organization', 'P:collagen metabolic process', 'P:elastic fiber assembly', 'P:fatty acid metabolic process', 'P:neuron projection development', 'P:positive regulation of cell fate determination', 'P:positive regulation of cell population proliferation', 'P:positive regulation of collagen fibril organization', 'P:positive regulation of epithelial to mesenchymal transition', 'P:positive regulation of vascular endothelial growth factor signaling pathway', 'P:regulation of cell adhesion', 'P:regulation of cell differentiation', 'P:regulation of cell migration', 'P:triglyceride metabolic process']"
130,P22415,USF1,https://www.antibodypedia.com/gene/3773/USF1,364,35,777,1,12,1,6.463940729703463,"['C:chromatin', 'C:Golgi apparatus', 'C:nucleoplasm', 'C:nucleus', 'C:transcription regulator complex', 'F:bHLH transcription factor binding', 'F:DNA-binding transcription factor activity, RNA polymerase II-specific', 'F:enzyme binding', 'F:histone deacetylase binding', 'F:identical protein binding', 'F:protein heterodimerization activity', 'F:protein homodimerization activity', 'F:protein kinase binding', 'F:protein-containing complex binding', 'F:RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'F:sequence-specific DNA binding', 'F:sequence-specific double-stranded DNA binding', 'P:carbon catabolite regulation of transcription', 'P:cellular response to insulin stimulus', 'P:glucose homeostasis', 'P:late viral transcription', 'P:lipid homeostasis', 'P:negative regulation of fibrinolysis', 'P:positive regulation of transcription by RNA polymerase II', 'P:positive regulation of transcription from RNA polymerase II promoter by glucose', 'P:regulation of transcription by RNA polymerase II', 'P:regulation of transcription from RNA polymerase II promoter by glucose', 'P:response to hypoxia', 'P:response to UV']"
131,P22455,FGFR4,https://www.antibodypedia.com/gene/3922/FGFR4,868,46,1282,9,0,1,3.0395284254901007,"['C:endoplasmic reticulum', 'C:endosome', 'C:extracellular region', 'C:Golgi apparatus', 'C:plasma membrane', 'C:receptor complex', 'C:transport vesicle', 'F:ATP binding', 'F:fibroblast growth factor binding', 'F:fibroblast growth factor receptor activity', 'F:heparin binding', 'P:cell migration', 'P:cholesterol homeostasis', 'P:fibroblast growth factor receptor signaling pathway', 'P:glucose homeostasis', 'P:peptidyl-tyrosine phosphorylation', 'P:phosphate ion homeostasis', 'P:positive regulation of catalytic activity', 'P:positive regulation of cell population proliferation', 'P:positive regulation of DNA biosynthetic process', 'P:positive regulation of ERK1 and ERK2 cascade', 'P:positive regulation of gene expression', 'P:positive regulation of proteolysis', 'P:protein autophosphorylation', 'P:regulation of bile acid biosynthetic process', 'P:regulation of extracellular matrix disassembly', 'P:regulation of lipid metabolic process']"
132,P22531,SPRR2E,https://www.antibodypedia.com/gene/76994/SPRR2E,2,2,9,0,0,2,2.5370035477269033,"['C:cornified envelope', 'C:cytoplasm', 'C:cytosol', 'F:structural constituent of skin epidermis', 'F:structural molecule activity', 'P:epidermis development', 'P:keratinization', 'P:peptide cross-linking']"
133,P22607,FGFR3,https://www.antibodypedia.com/gene/3787/FGFR3,750,45,3631,11,0,1,1.253546746034419,"['C:cell surface', 'C:endoplasmic reticulum', 'C:extracellular region', 'C:Golgi apparatus', 'C:plasma membrane', 'C:receptor complex', 'C:transport vesicle', 'F:ATP binding', 'F:fibroblast growth factor binding', 'F:fibroblast growth factor receptor activity', 'F:identical protein binding', 'F:protein tyrosine kinase activity', 'P:bone maturation', 'P:bone mineralization', 'P:bone morphogenesis', 'P:cell surface receptor signaling pathway via JAK-STAT', 'P:cell-cell signaling', 'P:chondrocyte differentiation', 'P:chondrocyte proliferation', 'P:endochondral bone growth', 'P:endochondral ossification', 'P:fibroblast growth factor receptor apoptotic signaling pathway', 'P:fibroblast growth factor receptor signaling pathway', 'P:MAPK cascade', 'P:negative regulation of developmental growth', 'P:positive regulation of cell population proliferation', 'P:positive regulation of ERK1 and ERK2 cascade', 'P:positive regulation of MAPK cascade', 'P:positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:positive regulation of phospholipase activity', 'P:positive regulation of tyrosine phosphorylation of STAT protein', 'P:skeletal system development']"
134,P22897,MRC1,https://www.antibodypedia.com/gene/72990/MRC1,817,43,721,1,0,-1,-0.38781664717308606,"['C:cell surface', 'C:endosome membrane', 'C:plasma membrane', 'F:cargo receptor activity', 'F:mannose binding', 'F:signaling receptor activity', 'F:transmembrane signaling receptor activity', 'F:virus receptor activity', 'P:cellular response to interleukin-4', 'P:cellular response to lipopolysaccharide', 'P:cellular response to type II interferon', 'P:receptor-mediated endocytosis']"
135,P23229,ITGA6,https://www.antibodypedia.com/gene/1485/ITGA6,1338,49,442,13,1,1,5.531957928105122,"['C:adherens junction', 'C:cell surface', 'C:external side of plasma membrane', 'C:filopodium', 'C:focal adhesion', 'C:integrin alpha6-beta1 complex', 'C:integrin alpha6-beta4 complex', 'C:integrin complex', 'C:plasma membrane', 'F:cadherin binding', 'F:insulin-like growth factor I binding', 'F:integrin binding', 'F:laminin binding', 'F:metal ion binding', 'F:neuregulin binding', 'P:cell adhesion mediated by integrin', 'P:cell-cell adhesion', 'P:cell-matrix adhesion', 'P:cell-substrate adhesion', 'P:cell-substrate junction assembly', 'P:cellular response to organic cyclic compound', 'P:ectodermal cell differentiation', 'P:integrin-mediated signaling pathway', 'P:leukocyte migration', 'P:nail development', 'P:negative regulation of extrinsic apoptotic signaling pathway', 'P:positive regulation of apoptotic process', 'P:positive regulation of cell migration', 'P:positive regulation of cell-substrate adhesion', 'P:positive regulation of GTPase activity', 'P:positive regulation of neuron projection development', 'P:positive regulation of phosphorylation', 'P:positive regulation of transcription by RNA polymerase II', 'P:skin morphogenesis']"
136,P23634,ATP2B4,https://www.antibodypedia.com/gene/4241/ATP2B4,153,22,129,5,1,1,2.622954363953633,"['C:basolateral plasma membrane', 'C:caveola', 'C:glutamatergic synapse', 'C:intracellular membrane-bounded organelle', 'C:membrane', 'C:membrane raft', 'C:plasma membrane', 'C:presynaptic active zone membrane', 'C:protein-containing complex', 'C:sperm flagellum', 'C:sperm principal piece', 'C:T-tubule', 'C:Z disc', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:calcium ion transmembrane transporter activity', 'F:calmodulin binding', 'F:metal ion binding', 'F:nitric-oxide synthase binding', 'F:nitric-oxide synthase inhibitor activity', 'F:P-type calcium transporter activity', 'F:PDZ domain binding', 'F:protein kinase binding', 'F:protein phosphatase 2B binding', 'F:scaffold protein binding', 'F:sodium channel regulator activity', 'P:calcium ion export', 'P:calcium ion import across plasma membrane', 'P:calcium ion transmembrane import into cytosol', 'P:calcium ion transmembrane transport', 'P:cellular response to acetylcholine', 'P:cellular response to epinephrine stimulus', 'P:flagellated sperm motility', 'P:hippocampus development', 'P:intracellular calcium ion homeostasis', 'P:monoatomic ion transmembrane transport', 'P:negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway', 'P:negative regulation of angiogenesis', 'P:negative regulation of arginine catabolic process', 'P:negative regulation of blood vessel endothelial cell migration', 'P:negative regulation of calcineurin-NFAT signaling cascade', 'P:negative regulation of cardiac muscle hypertrophy in response to stress', 'P:negative regulation of cellular response to vascular endothelial growth factor stimulus', 'P:negative regulation of citrulline biosynthetic process', 'P:negative regulation of gene expression', 'P:negative regulation of nitric oxide biosynthetic process', 'P:negative regulation of nitric-oxide synthase activity', 'P:negative regulation of peptidyl-cysteine S-nitrosylation', 'P:negative regulation of the force of heart contraction', 'P:neural retina development', 'P:nitric oxide-cGMP-mediated signaling', 'P:positive regulation of protein localization to plasma membrane', 'P:regulation of cardiac conduction', 'P:regulation of cell cycle G1/S phase transition', 'P:regulation of cytosolic calcium ion concentration', 'P:regulation of sodium ion transmembrane transport', 'P:regulation of transcription by RNA polymerase II', 'P:response to hydrostatic pressure', 'P:spermatogenesis', 'P:transport across blood-brain barrier', 'P:urinary bladder smooth muscle contraction']"
137,P24844,MYL9,https://www.antibodypedia.com/gene/11734/MYL9,417,34,174,25,-2,1,4.891602853896039,"['C:cell cortex', 'C:cytoplasm', 'C:cytosol', 'C:muscle myosin complex', 'C:myofibril', 'C:stress fiber', 'C:Z disc', 'F:calcium ion binding', 'F:myosin heavy chain binding', 'F:structural constituent of muscle', 'P:myofibril assembly', 'P:platelet aggregation', 'P:regulation of muscle contraction']"
138,P25054,APC,https://www.antibodypedia.com/gene/1054/APC,741,44,29604,7,1,1,-20.10576927513371,"['C:adherens junction', 'C:beta-catenin destruction complex', 'C:bicellular tight junction', 'C:catenin complex', 'C:centrosome', 'C:cytoplasm', 'C:cytosol', 'C:Golgi apparatus', 'C:kinetochore', 'C:lamellipodium', 'C:lateral plasma membrane', 'C:microtubule', 'C:nucleoplasm', 'C:nucleus', 'C:perinuclear region of cytoplasm', 'C:plasma membrane', 'C:ruffle membrane', 'C:Wnt signalosome', 'F:beta-catenin binding', 'F:dynein complex binding', 'F:gamma-catenin binding', 'F:microtubule binding', 'F:microtubule plus-end binding', 'F:protein kinase binding', 'F:protein kinase regulator activity', 'F:ubiquitin protein ligase binding', 'P:bicellular tight junction assembly', 'P:cell adhesion', 'P:cell fate specification', 'P:cell migration', 'P:DNA damage response', 'P:endocardial cushion morphogenesis', 'P:heart valve development', 'P:insulin receptor signaling pathway', 'P:mitotic cytokinesis', 'P:mitotic spindle assembly checkpoint signaling', 'P:negative regulation of canonical Wnt signaling pathway', 'P:negative regulation of cell cycle G1/S phase transition', 'P:negative regulation of cell population proliferation', 'P:negative regulation of cyclin-dependent protein serine/threonine kinase activity', 'P:negative regulation of G1/S transition of mitotic cell cycle', 'P:negative regulation of microtubule depolymerization', 'P:nervous system development', 'P:pattern specification process', 'P:positive regulation of apoptotic process', 'P:positive regulation of cell migration', 'P:positive regulation of cold-induced thermogenesis', 'P:positive regulation of protein catabolic process', 'P:positive regulation of protein localization to centrosome', 'P:positive regulation of pseudopodium assembly', 'P:proteasome-mediated ubiquitin-dependent protein catabolic process', 'P:protein-containing complex assembly', 'P:regulation of attachment of spindle microtubules to kinetochore', 'P:regulation of microtubule-based movement', 'P:regulation of microtubule-based process', 'P:Wnt signaling pathway']"
139,P25391,LAMA1,https://www.antibodypedia.com/gene/4123/LAMA1,329,29,176,6,0,1,2.601295789243519,"['C:basement membrane', 'C:cell-cell junction', 'C:collagen-containing extracellular matrix', 'C:extracellular matrix', 'C:extracellular region', 'C:extracellular space', 'C:laminin-1 complex', 'C:laminin-3 complex', 'C:membrane', 'C:protein complex involved in cell-matrix adhesion', 'F:extracellular matrix structural constituent', 'F:glycosphingolipid binding', 'F:signaling receptor binding', 'P:branching involved in salivary gland morphogenesis', 'P:cell adhesion', 'P:cell surface receptor signaling pathway', 'P:epithelial tube branching involved in lung morphogenesis', 'P:establishment of epithelial cell apical/basal polarity', 'P:morphogenesis of an epithelial sheet', 'P:neuron projection development', 'P:positive regulation of cell adhesion', 'P:positive regulation of integrin-mediated signaling pathway', 'P:positive regulation of muscle cell differentiation', 'P:regulation of basement membrane organization', 'P:regulation of cell migration', 'P:regulation of embryonic development', 'P:retinal blood vessel morphogenesis']"
140,P28290,ITPRID2,https://www.antibodypedia.com/gene/33982/ITPRID2,107,19,26,2,0,1,1.7364410955845446,"['C:cytosol', 'C:nucleoplasm', 'C:plasma membrane', 'F:actin filament binding', 'F:signaling receptor binding']"
141,P28340,POLD1,https://www.antibodypedia.com/gene/3821/POLD1,348,36,351,12,7,2,7.671067635618841,"['C:aggresome', 'C:cytosol', 'C:delta DNA polymerase complex', 'C:membrane', 'C:nucleoplasm', 'C:nucleotide-excision repair complex', 'C:nucleus', ""F:3'-5'-DNA exonuclease activity"", 'F:4 iron, 4 sulfur cluster binding', 'F:chromatin binding', 'F:damaged DNA binding', 'F:DNA binding', 'F:DNA-directed DNA polymerase activity', 'F:enzyme binding', 'F:metal ion binding', 'F:nucleotide binding', 'P:base-excision repair, gap-filling', 'P:cellular response to UV', 'P:DNA biosynthetic process', 'P:DNA repair', 'P:DNA replication', 'P:DNA replication proofreading', 'P:DNA synthesis involved in DNA repair', 'P:DNA-templated DNA replication', 'P:error-free translesion synthesis', 'P:fatty acid homeostasis', 'P:nucleotide-excision repair, DNA gap filling', 'P:response to UV']"
142,P29353,SHC1,https://www.antibodypedia.com/gene/731/SHC1,1163,44,1391,18,2,-1,3.1491908354448497,"['C:cytosol', 'C:focal adhesion', 'C:mitochondrial matrix', 'C:plasma membrane', 'C:Shc-EGFR complex', 'F:ephrin receptor binding', 'F:epidermal growth factor binding', 'F:epidermal growth factor receptor binding', 'F:insulin receptor binding', 'F:insulin-like growth factor receptor binding', 'F:neurotrophin TRKA receptor binding', 'F:phospholipid binding', 'F:phosphotyrosine residue binding', 'F:receptor tyrosine kinase binding', 'F:transmembrane receptor protein tyrosine kinase adaptor activity', 'P:actin cytoskeleton organization', 'P:angiogenesis', 'P:cell-cell adhesion', 'P:cellular response to growth factor stimulus', 'P:defense response to bacterium', 'P:epidermal growth factor receptor signaling pathway', 'P:heart development', 'P:insulin receptor signaling pathway', 'P:insulin-like growth factor receptor signaling pathway', 'P:intracellular signal transduction', 'P:negative regulation of angiogenesis', 'P:negative regulation of apoptotic process', 'P:negative regulation of DNA-templated transcription', 'P:positive regulation of cell population proliferation', 'P:positive regulation of cell proliferation in bone marrow', 'P:positive regulation of DNA-templated transcription', 'P:positive regulation of ERK1 and ERK2 cascade', 'P:positive regulation of MAPK cascade', 'P:regulation of superoxide metabolic process']"
